ComponentId,GameObjectId,TransformId,HierarchyPath,FsmName,StartState,States,Actions,GameObjectReferences,NamedValues
107955,13371,49424,"SATSUMA(557kg, 248)/Wiring","Status","State 2","Alternator;Plugwires;Starter;State 1;Battery;Wait 2;Steering;Dash;Headlights;Ground;Battery charge?;Plus?;Fire off;Rear lights;Fueltank;Amp power;Amp audio;Sub left;Sub right;Gauges;Starter 3;Disable battery wires;State 2;Radiatorfan;Disable triggers;Ground wire;Markers;FINISHED;CHECK;FIRE;NOMOTOR;OFF","ActivateGameObject;BoolAllTrue;BoolAnyTrue;BoolNoneTrue;BoolTest;FloatCompare;GetFsmBool;GetFsmFloat;SetFsmBool;Wait","db_Alternator=17553[Database/DatabaseMotor/Alternator];tAlternatorRegulator=8271[SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/AlternatorRegulator];db_Plugwires=31811[Database/DatabaseMechanics/Electrics];tCoilHarness=16562[SATSUMA(557kg, 248)/Wiring/Triggers/CoilHarness/CoilHarness];db_Starter=1999[Database/DatabaseMotor/Starter];tStarterBatteryPlus=25097[SATSUMA(557kg, 248)/Wiring/Triggers/StarterBattery/StarterBatteryPlus];tStarterBatteryMinus=32759[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/StarterBatteryMinus];db_Block=35519[Database/DatabaseMotor/Block];db_Battery=26601[Database/PartsStatus/Battery];tBatteryPlusStarter=26327[SATSUMA(557kg, 248)/Wiring/Triggers/StarterBattery/BatteryPlusStarter];tBatteryPlusHarness=5498[SATSUMA(557kg, 248)/Wiring/Triggers/BatteryHarness/BatteryPlusHarness];tBatteryMinusStarter=12298[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/BatteryMinusStarter];db_SteeringColumn=238[Database/DatabaseMechanics/SteeringColumn];tIgnitionFusebox=27694[SATSUMA(557kg, 248)/Wiring/Triggers/IgnitionFusebox/IgnitionFusebox];db_DashMeters=16587[Database/DatabaseMechanics/DashboardMeters];db_Dash=24983[Database/DatabaseMechanics/Dashboard];tLightsSwitchHarness=7278[SATSUMA(557kg, 248)/Wiring/Triggers/SwitchLights/SwitchHarness];tDashFusebox1=34727[SATSUMA(557kg, 248)/Wiring/Triggers/Dash1/DashFusebox];tDashFusebox2=24446[SATSUMA(557kg, 248)/Wiring/Triggers/Dash2/DashFusebox];db_HeadlightLeft=557[Database/DatabaseMechanics/HeadlightLeft1];db_HeadlightRight=5205[Database/DatabaseMechanics/HeadlightRight1];tHeadLightLeftConnector=34366[SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightLeft/LightConnector];tHeadLightRightConnector=7793[SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightRight/LightConnector];db_BatteryTerMinus=3446[Database/DatabaseWiring/WiringBatteryMinus];db_BatteryGround=7904[Database/DatabaseWiring/WiringGround1];db_BatteryTerPlus=21525[Database/DatabaseWiring/WiringBatteryPlus];db_BatteryHarness=30568[Database/DatabaseWiring/WiringBatteryHarness];db_RearlightLeft=15725[Database/DatabaseMechanics/RearLightLeft];db_RearlightRight=4683[Database/DatabaseMechanics/RearLightRight];tRearLightLeftConnector=28537[SATSUMA(557kg, 248)/Wiring/Triggers/RearlightLeft/LightConnector];tRearLightRightConnector=31436[SATSUMA(557kg, 248)/Wiring/Triggers/RearlightRight/LightConnector];db_Fueltank=12246[Database/DatabaseMechanics/FuelTank];tFueltankConnector=9923[SATSUMA(557kg, 248)/Wiring/Triggers/Fueltank/TankConnector];db_Amplifier=11599[Database/DatabaseOrders/Amplifier];tAmpPower=21309[SATSUMA(557kg, 248)/Wiring/Triggers/AmplifierPower/AmplifierHarness];tAmpRadio=35781[SATSUMA(557kg, 248)/Wiring/Triggers/AmplifierAudio/AmplifierRadio];db_CDplayer=14325[Database/DatabaseOrders/CD_player];tRadioAmplifier=35735[SATSUMA(557kg, 248)/Wiring/Triggers/AmplifierAudio/RadioAmplifier];db_SubLeft=32048[Database/DatabaseOrders/Subwoofer_Left];db_SubPanel=18166[Database/DatabaseBody/Subwoofer_panel];tSubLeftAmp=24272[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferLeft/SubwooferAmplifier];tAmpSubLeft=28632[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferLeft/AmplifierSubwoofer];db_SubRight=29458[Database/DatabaseOrders/Subwoofer_Right];tSubRightAmp=14161[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/SubwooferAmplifier];tAmpSubRight=19119[SATSUMA(557kg, 248)/Wiring/Triggers/SubwooferRight/AmplifierSubwoofer];db_GaugeAFR=3164[Database/DatabaseOrders/Fuel Mixture Gauge];db_GaugeExtra=3050[Database/DatabaseOrders/ExtraGauges];tGaugeAFR=33202[SATSUMA(557kg, 248)/Wiring/Triggers/GaugeAFR/GaugeHarness];tGaugeExtra=1758[SATSUMA(557kg, 248)/Wiring/Triggers/GaugeExtra/GaugeHarness];db_Radiator=34917[Database/DatabaseMechanics/Radiator];db_RadiatorRacing=11989[Database/DatabaseOrders/Racing Radiator];tRadiatorfanHarness=22632[SATSUMA(557kg, 248)/Wiring/Triggers/RadiatorfanHarness/RadiatorfanHarness];db_MarkerLeft=21418[Database/DatabaseOrders/Marker Light Left];db_MarkerRight=8361[Database/DatabaseOrders/Marker Light Right];tMarkerLeftConnector=19143[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerLeft/LightConnector];tMarkerRightConnector=10037[SATSUMA(557kg, 248)/Wiring/Triggers/MarkerRight/LightConnector]","Charge=0;BoolState1=0;BoolState2=0;Installed1=0;Installed2=0;Installed3=0"
107956,13371,49424,"SATSUMA(557kg, 248)/Wiring","Shock","Shock","Shock;Battery charge?;Plus?;State 2;Spark;Random;Reset;Death;Battery charge? 2;Plus? 2;Spark 2;FINISHED;DIE;HOTINSTALL;OFF;RESETWIRING","ActivateGameObject;BoolTest;FloatCompare;GetFsmBool;GetFsmFloat;GetPosition;SendRandomEvent;SetBoolValue;SetFsmBool;SetParent;SetPosition;SetStringValue;Wait","db_Battery=26601[Database/PartsStatus/Battery];db_BatteryPlusShoe=21525[Database/DatabaseWiring/WiringBatteryPlus];db_BatteryHarness=30568[Database/DatabaseWiring/WiringBatteryHarness];Spark=31196[SATSUMA(557kg, 248)/Wiring/FireElectric/Sparks];WiringTool=0[];Death=12495[Systems/Death];db_Block=35519[Database/DatabaseMotor/Block];SparkPoint=0[]","Charge=0;Installed1=0;Installed2=0;Installed3=0;Pos={x: 0, y: 0, z: 0}"
113854,34023,70076,"SATSUMA(557kg, 248)/Wiring/FireElectric","Init","Reset","Sparks;Spread;Fire;Randomize pos;Position;State 1;Reset;Off;FINISHED;LOOP;OFF","ActivateGameObject;ArrayListGetRandom;BoolTest;GetFsmGameObject;GetPosition;IsActive;RandomFloat;SendEventByName;SetBoolValue;SetPosition;SubtractFsmFloat;Wait","db_Battery=26601[Database/PartsStatus/Battery];DestroyedPart=0[];Point=0[]","Time=0;Off=0;Pos={x: 0, y: 0, z: 0}"
109981,20892,56952,"SATSUMA(557kg, 248)/Wiring/FireElectric/FireTrigger","PutOut","Wait","Wait;Fight fire;Fire off;Reset;FINISHED;GLOBALEVENT;PUTOUT","ActivateGameObject;BoolTest;FloatCompare;FloatSubtract;GetFsmBool;SetBoolValue;SetFloatValue;Wait","","Fire=100;Hit=0;InWater=0"
110857,23982,60044,"SATSUMA(557kg, 248)/Wiring/Parts/battery_terminal_plus(xxxxx)","BoltCheck","Check load","Bolts OFF;Bolts ON;Check float;Load float;Save float;Check array;Save array;Load array;Save;Check load;FINISHED;DOESNOTEXIST;EXISTS;SAVEGAME;BREAK","ArrayListEasyLoad;ArrayListEasySave;BoolTest;BuildString;Exists;FloatClamp;FloatCompare;GetName;LoadFloat;SaveFloat;SetBoolValue;SetFsmBool","db_ThisPart=21525[Database/DatabaseWiring/WiringBatteryPlus];db_ThisPart=557[Database/DatabaseMechanics/HeadlightLeft1]","BoltedNO=2;BoltedYES=2;Tightness=0;TightnessMax=8;SameLoad=0"
112469,29245,65291,"SATSUMA(557kg, 248)/Wiring/Parts/battery_terminal_minus(xxxxx)","BoltCheck","Check load","Bolts OFF;Bolts ON;Check float;Load float;Save float;Check array;Save array;Load array;Save;Check load;FINISHED;DOESNOTEXIST;EXISTS;SAVEGAME;BREAK","ArrayListEasyLoad;ArrayListEasySave;BoolTest;BuildString;Exists;FloatClamp;FloatCompare;GetName;LoadFloat;SaveFloat;SetBoolValue;SetFsmBool","db_ThisPart=3446[Database/DatabaseWiring/WiringBatteryMinus];db_ThisPart=557[Database/DatabaseMechanics/HeadlightLeft1]","BoltedNO=2;BoltedYES=2;Tightness=0;TightnessMax=8;SameLoad=0"
113207,31786,67843,"SATSUMA(557kg, 248)/Wiring/Parts/wiring_starter(xxxxx)","BoltCheck","Check float","Bolts OFF;Bolts ON;Check float;Load float;Save float;Check array;Save array;Load array;Save;FINISHED;DOESNOTEXIST;EXISTS;SAVEGAME;BREAK","ArrayListEasyLoad;ArrayListEasySave;BuildString;Exists;FloatClamp;FloatCompare;GetName;LoadFloat;SaveFloat;SetFsmBool","db_ThisPart=15250[Database/DatabaseWiring/WiringStarter];db_ThisPart=557[Database/DatabaseMechanics/HeadlightLeft1]","BoltedNO=6;BoltedYES=7;Tightness=0;TightnessMax=8"
104461,1271,37329,"SATSUMA(557kg, 248)/Wiring/Triggers/GaugeExtra/HarnessGauge","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=1758[SATSUMA(557kg, 248)/Wiring/Triggers/GaugeExtra/GaugeHarness];db_ThisPart=17947[Database/DatabaseWiring/WiringGaugeExtra];ThisWire1=4354[SATSUMA(557kg, 248)/Wiring/Parts/wiring_gauge_extra(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
104480,1330,37388,"SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightLeft/ConnectorLight","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=34366[SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightLeft/LightConnector];db_ThisPart=4336[Database/DatabaseWiring/WiringHeadlightLeft];ThisWire1=8405[SATSUMA(557kg, 248)/Wiring/Parts/wiring_headlights_left(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
104610,1758,37816,"SATSUMA(557kg, 248)/Wiring/Triggers/GaugeExtra/GaugeHarness","Assemble","Init","State 1;Assemble;Sound;Finish assembly;Init;FINISHED;ASSEMBLE;CLOSELOOP;INSTALLED;LOOP;NOTINSTALLED;RESETWIRING","ActivateGameObject;FloatCompare;GetButtonDown;GetDistance;GetParent;SendEvent;SendEventByName;SetBoolValue;SetFsmBool;SetStringValue","WiringTool=0[];_OtherEnd=1271[SATSUMA(557kg, 248)/Wiring/Triggers/GaugeExtra/HarnessGauge];db_ThisPart=17947[Database/DatabaseWiring/WiringGaugeExtra];ThisWire1=4354[SATSUMA(557kg, 248)/Wiring/Parts/wiring_gauge_extra(xxxxx)];Owner=0[]","Distance=0;Tolerance=0.1"
