ComponentId,HierarchyPath,FsmName,StateName,Transitions,ActionSequence,GameObjectReferences,NamedValues,StringParameters,ParameterNames,ByteDataAscii
107955,"SATSUMA(557kg, 248)/Wiring","Status","Alternator","FINISHED->Plugwires","GetFsmBool;ActivateGameObject","db_Alternator=17553[Database/DatabaseMotor/Alternator];tAlternatorRegulator=8271[SATSUMA(557kg, 248)/Wiring/Triggers/AlternatorRegulator/AlternatorRegulator]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Plugwires","FINISHED->Starter","GetFsmBool;ActivateGameObject","db_Plugwires=31811[Database/DatabaseMechanics/Electrics];tCoilHarness=16562[SATSUMA(557kg, 248)/Wiring/Triggers/CoilHarness/CoilHarness]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Starter","FINISHED->Starter 3","GetFsmBool;ActivateGameObject;ActivateGameObject","db_Starter=1999[Database/DatabaseMotor/Starter];tStarterBatteryPlus=25097[SATSUMA(557kg, 248)/Wiring/Triggers/StarterBattery/StarterBatteryPlus];tStarterBatteryMinus=32759[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/StarterBatteryMinus]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","State 1","NOMOTOR->Disable triggers;CHECK->Alternator","GetFsmBool;BoolTest","db_Block=35519[Database/DatabaseMotor/Block]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame","Installed1|Installed1CHECKNOMOTOR"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Battery","FINISHED->Steering","GetFsmBool;ActivateGameObject;ActivateGameObject;ActivateGameObject","db_Battery=26601[Database/PartsStatus/Battery];tBatteryPlusStarter=26327[SATSUMA(557kg, 248)/Wiring/Triggers/StarterBattery/BatteryPlusStarter];tBatteryPlusHarness=5498[SATSUMA(557kg, 248)/Wiring/Triggers/BatteryHarness/BatteryPlusHarness];tBatteryMinusStarter=12298[SATSUMA(557kg, 248)/Wiring/Triggers/GroundBattery/BatteryMinusStarter]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1|Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Wait 2","FINISHED->State 1","Wait","","","","finishEvent;realTime","??|FINISHED"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Steering","FINISHED->Dash","GetFsmBool;ActivateGameObject","db_SteeringColumn=238[Database/DatabaseMechanics/SteeringColumn];tIgnitionFusebox=27694[SATSUMA(557kg, 248)/Wiring/Triggers/IgnitionFusebox/IgnitionFusebox]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Dash","FINISHED->Headlights","GetFsmBool;GetFsmBool;BoolAllTrue;ActivateGameObject;ActivateGameObject;ActivateGameObject","db_DashMeters=16587[Database/DatabaseMechanics/DashboardMeters];db_Dash=24983[Database/DatabaseMechanics/Dashboard];tLightsSwitchHarness=7278[SATSUMA(557kg, 248)/Wiring/Triggers/SwitchLights/SwitchHarness];tDashFusebox1=34727[SATSUMA(557kg, 248)/Wiring/Triggers/Dash1/DashFusebox];tDashFusebox2=24446[SATSUMA(557kg, 248)/Wiring/Triggers/Dash2/DashFusebox]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|Installed2|BoolState1|BoolState1|BoolState1|BoolState1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Headlights","FINISHED->Rear lights","GetFsmBool;GetFsmBool;BoolNoneTrue;BoolNoneTrue;ActivateGameObject;ActivateGameObject","db_HeadlightLeft=557[Database/DatabaseMechanics/HeadlightLeft1];db_HeadlightRight=5205[Database/DatabaseMechanics/HeadlightRight1];tHeadLightLeftConnector=34366[SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightLeft/LightConnector];tHeadLightRightConnector=7793[SATSUMA(557kg, 248)/Wiring/Triggers/HeadlightRight/LightConnector]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;- sendEvent;storeResult;everyFrame;boolVariables;- sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|BoolState1|Installed2|BoolState2|BoolState1|BoolState2"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Ground","FINISHED->Fire off;FIRE->Plus?","GetFsmBool;GetFsmBool;BoolAllTrue","db_BatteryTerMinus=3446[Database/DatabaseWiring/WiringBatteryMinus];db_BatteryGround=7904[Database/DatabaseWiring/WiringGround1]","","Data;Bolted;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;-;sendEvent;storeResult;everyFrame","Installed1|Installed2|Installed1|Installed2FIRE"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Battery charge?","OFF->Fire off;FINISHED->Ground","GetFsmBool;BoolTest;GetFsmBool;BoolTest;GetFsmFloat;FloatCompare","db_Battery=26601[Database/PartsStatus/Battery];db_BatteryTerPlus=21525[Database/DatabaseWiring/WiringBatteryPlus]","","Data;Installed;Data;Bolted;Data;Charge","fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariable;isTrue;isFalse;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;float1;float2;tolerance;equal;lessThan;greaterThan;everyFrame","Installed1|Installed1OFF|Installed2|Installed2OFF|Charge|Charge|?B|OFFOFFFINISHED"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Plus?","FINISHED->Wait 2","GetFsmBool;ActivateGameObject","db_BatteryHarness=30568[Database/DatabaseWiring/WiringBatteryHarness]","","Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed1"
107955,"SATSUMA(557kg, 248)/Wiring","Status","Fire off","FINISHED->Wait 2","SetFsmBool","","","Init;Off","fsmName;variableName;setValue;everyFrame",""
107955,"SATSUMA(557kg, 248)/Wiring","Status","Rear lights","FINISHED->Markers","GetFsmBool;GetFsmBool;BoolAllTrue;BoolAllTrue;ActivateGameObject;ActivateGameObject","db_RearlightLeft=15725[Database/DatabaseMechanics/RearLightLeft];db_RearlightRight=4683[Database/DatabaseMechanics/RearLightRight];tRearLightLeftConnector=28537[SATSUMA(557kg, 248)/Wiring/Triggers/RearlightLeft/LightConnector];tRearLightRightConnector=31436[SATSUMA(557kg, 248)/Wiring/Triggers/RearlightRight/LightConnector]","","Data;Installed;Data;Installed","fsmName;variableName;storeValue;everyFrame;gameObject;fsmName;variableName;storeValue;everyFrame;boolVariables;- sendEvent;storeResult;everyFrame;boolVariables;- sendEvent;storeResult;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame;gameObject;activate;recursive;resetOnExit;everyFrame","Installed1|Installed2|Installed1|BoolState1|Installed2|BoolState2|BoolState1|BoolState2"
