AssemblyComponentId,TriggerName,HandChild,InstalledTransformId,InstalledHierarchyPath,MarkerGameObjectId,MarkerTransformId,MarkerHierarchyPath,LocalPosition,LocalRotation,LocalScale,DonorSphereRadiusMeters,InferredWrenchMillimeters,DonorMaximumStage,TransferStatus
106416,"trigger_antenna_left","antenna(Clone)",69958,"SATSUMA(557kg, 248)/MiscParts/antenna(leftx)",26494,62552,"SATSUMA(557kg, 248)/MiscParts/antenna(leftx)/BoltPM","1.85344061E-06;2.17614911E-07;-0.025999913","-8.405238E-11;1;-2.60216937E-09;-1.61817667E-07","0.8;0.8;0.8",0.02,8,8,ConfigurationTransferred
108683,"trigger_antenna_right","antenna(Clone)",48431,"SATSUMA(557kg, 248)/MiscParts/antenna(right)",5601,41658,"SATSUMA(557kg, 248)/MiscParts/antenna(right)/BoltPM","-7.1681734E-07;-1.57832983E-06;-0.0259999521","1.01373159E-08;1;7.27644167E-09;-1.62282987E-07","0.8;0.8;0.799999952",0.02,8,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",3106,39164,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","-0.370795369;-0.0101378942;0.00209516147","-0.70710665;4.47034779E-07;0.7071069;4.986255E-07","0.6999999;0.7000001;0.5",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",5211,41265,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","0.2208337;0.0442783535;0.144089356","0.7071068;-1.78813892E-07;-0.7071068;-1.70800021E-07","0.700000048;0.700000167;0.700000167",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",5397,41451,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","-0.3222781;-0.008551012;0.00150471809","2.17884679E-08;0.707106948;-1.45004662E-07;0.7071066","0.700000048;0.7;0.50000006",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",11430,47476,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","-0.3222781;-0.007296933;0.0212107915","1.70800021E-07;0.7071068;-2.3441163E-07;0.7071068","0.7;0.6999999;0.50000006",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",12159,48208,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","-0.4150585;-1.87215626;-0.189913824","0.5124225;-1.05882918E-07;-1.77441933E-07;0.8587335","0.7;0.6999999;0.5000001",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",12916,48964,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","0.220833749;0.1041977;0.144089609","0.7071068;-1.78813892E-07;-0.7071068;-1.7080005E-07","0.700000048;0.700000167;0.7000001",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",24944,61003,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","0.4153353;-1.87215579;-0.189913765","0.5124228;-6.10855437E-08;-1.02368965E-07;0.8587333","0.6999998;0.6999998;0.49999994",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",27872,63927,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","-0.3461505;-0.00571191357;0.0469704941","-0.00159597863;0.03246387;0.99946034;-0.00476008","0.7000003;0.6999999;0.599999964",0.012,7,8,ConfigurationTransferred
106381,"trigger_brake_lining","brake lining(Clone)",48439,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)",31563,67619,"SATSUMA(557kg, 248)/MiscParts/brake lining(xxxxx)/Bolts/BoltPM","0.310976863;-0.0433958061;-0.122304969","-0.00721725775;0.107213907;0.994203746;0.00347203622","0.6999999;0.6999998;0.699999869",0.012,7,8,ConfigurationTransferred
110822,"trigger_brake_master","brake master cylinder(Clone)",60414,"SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)",12809,48856,"SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)/Bolts/BoltPM","-0.0272570588;-0.06353739;0.0151110189","-0.707106352;-1.66265012E-14;-6.997293E-15;0.7071072","0.8;0.8000001;0.8000001",0.012,8,8,ConfigurationTransferred
110822,"trigger_brake_master","brake master cylinder(Clone)",60414,"SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)",20498,56562,"SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)/Bolts/BoltPM","0.0145490766;-0.193800732;0.00416759169","-0.499999583;0.5000006;-0.4999995;0.5000005","0.9000001;0.9000002;0.9000002",0.012,9,8,ConfigurationTransferred
110822,"trigger_brake_master","brake master cylinder(Clone)",60414,"SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)",33120,69181,"SATSUMA(557kg, 248)/MiscParts/brake master cylinder(xxxxx)/Bolts/BoltPM","0.0288685784;-0.0673597455;-0.008883305","-0.707106054;1.461108E-07;-1.4611112E-07;0.7071075","0.8;0.799999952;0.799999952",0.012,8,8,ConfigurationTransferred
109276,"trigger_clutch_lining","clutch lining(Clone)",52429,"SATSUMA(557kg, 248)/MiscParts/clutch lining(xxxxx)",7767,43823,"SATSUMA(557kg, 248)/MiscParts/clutch lining(xxxxx)/BoltPM","0.5720077;-0.115374371;0.150479421","1;1.28572181E-14;6.69011662E-16;3.37174782E-07","0.7;0.7;0.7",0.012,7,8,ConfigurationTransferred
109276,"trigger_clutch_lining","clutch lining(Clone)",52429,"SATSUMA(557kg, 248)/MiscParts/clutch lining(xxxxx)",28071,64125,"SATSUMA(557kg, 248)/MiscParts/clutch lining(xxxxx)/BoltPM","0.0188289471;-0.00332031143;0.017038526","0.1497137;-0.1497138;0.691075861;0.691075861","0.7;0.7;0.700000048",0.012,7,8,ConfigurationTransferred
105057,"trigger_clutch_master","clutch master cylinder(Clone)",41150,"SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)",9387,45443,"SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)/BoltPM","0.0151813626;-0.193804592;0.004167413","-0.499999225;0.5000008;-0.499999344;0.500000656","0.9;0.9000011;0.9000001",0.012,9,8,ConfigurationTransferred
105057,"trigger_clutch_master","clutch master cylinder(Clone)",41150,"SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)",11360,47408,"SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)/BoltPM","0.00199498725;-0.0722940862;-0.0282677542","-0.707106054;1.46110821E-07;-1.46111091E-07;0.7071075","0.8;0.799999952;0.799999952",0.012,8,8,ConfigurationTransferred
105057,"trigger_clutch_master","clutch master cylinder(Clone)",41150,"SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)",22718,58772,"SATSUMA(557kg, 248)/MiscParts/clutch master cylinder(xxxxx)/BoltPM","0.00216283649;-0.06850705;0.0319370665","-0.707106054;1.46110821E-07;-1.46111091E-07;0.7071075","0.8;0.799999952;0.799999952",0.012,8,8,ConfigurationTransferred
105128,"trigger_discbrake_fl","disc brake(Clone)",36394,"SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/TireFL/OFFSET/discbrake(flxxx)",12041,48090,"SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/TireFL/OFFSET/discbrake(flxxx)/BoltPM","0.110809609;8.824318E-10;7.286404E-08","1.19831826E-15;0.7071068;-4.779871E-15;0.7071067","1.4000001;1.4;1.4000001",0.012,14,8,ConfigurationTransferred
108653,"trigger_discbrake_fr","disc brake(Clone)",47897,"SATSUMA(557kg, 248)/FR/AckerFR/wheelFR/TireFR/OFFSET/discbrake(frxxx)",30005,66054,"SATSUMA(557kg, 248)/FR/AckerFR/wheelFR/TireFR/OFFSET/discbrake(frxxx)/BoltPM","0.110808834;-3.69820761E-08;-2.14389817E-09","0.707106;-1.15202276E-07;0.707107544;-3.231163E-08","1.4000001;1.40000033;1.4000001",0.012,14,8,ConfigurationTransferred
112903,"trigger_drumbrake_rl","drum brake(Clone)",40078,"SATSUMA(557kg, 248)/RL/wheelRL/TireRL/drumbrake rl(xxxxx)",12701,48747,"SATSUMA(557kg, 248)/RL/wheelRL/TireRL/drumbrake rl(xxxxx)/BoltPM","0.07999964;1.16608652E-08;2.97796163E-07","4.778558E-17;0.7071068;9.091386E-16;0.7071067","1.4000001;1.4;1.4000001",0.012,14,8,ConfigurationTransferred
106461,"trigger_drumbrake_rr","drum brake(Clone)",45372,"SATSUMA(557kg, 248)/RR/wheelRR/TireRR/drumbrake rr(xxxxx)",27542,63595,"SATSUMA(557kg, 248)/RR/wheelRR/TireRR/drumbrake rr(xxxxx)/BoltPM","0.08000019;0;-2.10778779E-07","0;0.70710665;0;0.7071069","1.4;1.4;1.4",0.012,14,8,ConfigurationTransferred
106201,"trigger_extinguisher_holder","fire extinguisher holder(Clone)",59251,"SATSUMA(557kg, 248)/Interior/fire extinguisher holder(xxxxx)",3780,39837,"SATSUMA(557kg, 248)/Interior/fire extinguisher holder(xxxxx)/Bolts/BoltPM","-0.06570015;-2.3839803E-07;-0.0669","-7.311698E-15;-6.66328E-16;-3.7407533E-15;1","0.6;0.6;0.6",0.02,6,8,ConfigurationTransferred
106201,"trigger_extinguisher_holder","fire extinguisher holder(Clone)",59251,"SATSUMA(557kg, 248)/Interior/fire extinguisher holder(xxxxx)",10581,46637,"SATSUMA(557kg, 248)/Interior/fire extinguisher holder(xxxxx)/Bolts/BoltPM","0.0634998158;-5.577298E-07;-0.0669000149","-7.311698E-15;-6.66328E-16;-3.7407533E-15;1","0.6;0.6;0.6",0.02,6,8,ConfigurationTransferred
110508,"trigger_fuel_strainer","fuel strainer(Clone)",36947,"SATSUMA(557kg, 248)/MiscParts/fuel strainer(xxxxx)",22672,58725,"SATSUMA(557kg, 248)/MiscParts/fuel strainer(xxxxx)/BoltPM","-0.0442476869;0.006560955;0.00151470327","0.0218788777;0.706728637;-0.0198289789;0.7068683","0.8;0.8000001;0.879999936",0.012,8,8,ConfigurationTransferred
113720,"trigger_gear_linkage","gear linkage(Clone)",38941,"SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)",5874,41929,"SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)/Bolts/BoltPM","0.03202348;0.3668331;0.0107971262","8.86055432E-07;0.707106054;5.40448639E-07;0.7071075","0.49999994;0.49999994;0.4",0.012,5,8,ConfigurationTransferred
113720,"trigger_gear_linkage","gear linkage(Clone)",38941,"SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)",8846,44902,"SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)/Bolts/BoltPM","0.03202349;0.3805431;0.011263743","4.092183E-07;0.707106;6.36114947E-08;0.707107544","0.5;0.5;0.4",0.012,5,8,ConfigurationTransferred
113720,"trigger_gear_linkage","gear linkage(Clone)",38941,"SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)",16309,52376,"SATSUMA(557kg, 248)/MiscParts/gear linkage(xxxxx)/Bolts/BoltPM","0.0692472458;0.2899774;0.140301064","-0.0787278637;-0.00313187088;0.002088147;0.996889055","0.5;0.49999997;0.4",0.012,5,8,ConfigurationTransferred
109134,"trigger_gear_stick","",59024,"SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)",8016,44069,"SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)/Bolts/BoltPM","-1.86442165E-07;0.039082218;-0.0136232367","-1.06580741E-14;1.05212114E-14;4.872307E-14;1","0.6;0.6;0.6",0.012,6,8,ConfigurationTransferred
109134,"trigger_gear_stick","",64972,"SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)",9281,45337,"SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)/Bolts/BoltPM","0.0283466615;-0.0251754671;-0.0136236791","1.19208877E-07;-2.605137E-07;3.16941765E-07;1","0.5999999;0.6;0.6",0.012,6,8,ConfigurationTransferred
109134,"trigger_gear_stick","",64972,"SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)",23336,59393,"SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)/Bolts/BoltPM","-0.02858196;-0.0251753256;-0.013623612","1.19208877E-07;-2.605137E-07;3.16941765E-07;1","0.5999999;0.6;0.6",0.012,6,8,ConfigurationTransferred
109134,"trigger_gear_stick","",59024,"SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)",24083,60145,"SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)/Bolts/BoltPM","-0.02858196;-0.0251753256;-0.013623612","1.19208877E-07;-2.605137E-07;3.16941765E-07;1","0.5999999;0.6;0.6",0.012,6,8,ConfigurationTransferred
109134,"trigger_gear_stick","",64972,"SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)",33997,70050,"SATSUMA(557kg, 248)/Dashboard/center console gt(xxxxx)/Bolts/BoltPM","-1.86442151E-07;0.039082218;-0.0136232367","-1.06580741E-14;1.05212114E-14;4.872307E-14;1","0.6;0.6;0.6",0.012,6,8,ConfigurationTransferred
109134,"trigger_gear_stick","",59024,"SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)",35999,72043,"SATSUMA(557kg, 248)/Dashboard/gear stick(xxxxx)/Bolts/BoltPM","0.0283466615;-0.0251754671;-0.0136236791","1.19208877E-07;-2.605137E-07;3.16941765E-07;1","0.5999999;0.6;0.6",0.012,6,8,ConfigurationTransferred
108507,"trigger_halfshaft_fl","halfshaft(Clone)",48337,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl",17861,53923,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/BoltPM","-0.021795772;-0.0220652223;1.16686773","0.500001132;-0.5000011;-0.499998957;0.499998957","0.9;0.9;0.6",0.012,9,8,ConfigurationTransferred
108507,"trigger_halfshaft_fl","halfshaft(Clone)",48337,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl",29540,65587,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/BoltPM","-0.02179576;0.0443708;1.12961435","0.500001132;-0.5000011;-0.499998957;0.499998957","0.9;0.9;0.6",0.012,9,8,ConfigurationTransferred
108507,"trigger_halfshaft_fl","halfshaft(Clone)",48337,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl",35188,71235,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/BoltPM","-0.0217957478;-0.0233245641;1.09200048","0.5000011;-0.500001;-0.499999017;0.499999017","0.9;0.9;0.6",0.012,9,8,ConfigurationTransferred
110985,"trigger_halfshaft_fr","halfshaft(Clone)",60434,"SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr",5425,41481,"SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr/BoltPM","0.0217127688;0.0442868173;0.00391061325","-0.499999285;0.4999991;-0.5000008;0.5000009","0.899999857;0.899999857;0.599999964",0.012,9,8,ConfigurationTransferred
110985,"trigger_halfshaft_fr","halfshaft(Clone)",60434,"SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr",7965,44020,"SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr/BoltPM","0.0217127819;-0.0228859484;-0.03374808","-0.499999285;0.4999991;-0.5000008;0.5000009","0.899999857;0.899999857;0.599999964",0.012,9,8,ConfigurationTransferred
110985,"trigger_halfshaft_fr","halfshaft(Clone)",60434,"SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr",21688,57744,"SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr/BoltPM","0.0217127576;-0.02189362;0.0413594954","-0.499999285;0.4999991;-0.5000008;0.5000009","0.899999857;0.899999857;0.599999964",0.012,9,8,ConfigurationTransferred
110639,"trigger_handbrake","handbrake(Clone)",65418,"SATSUMA(557kg, 248)/MiscParts/HandBrake/handbrake(xxxxx)",19671,55735,"SATSUMA(557kg, 248)/MiscParts/HandBrake/handbrake(xxxxx)/BoltPM","-0.025499139;-0.0174993873;0.0510000251","-1.19209275E-07;1.629199E-14;-2.0663208E-07;1","0.8000006;0.800000966;0.88000077",0.012,8,8,ConfigurationTransferred
