ComponentId,GameObjectId,TransformId,GameObjectName,HierarchyPath,OwnBodyBelowSatsuma,ConnectedRigidbodyComponentId,ConnectedGameObjectId,ConnectedHierarchyPath,ConnectedBodyBelowSatsuma,Anchor,Axis,AutoConfigureConnectedAnchor,ConnectedAnchor,UseSpring,Spring,Damper,TargetPosition,UseLimits,MinimumLimitDegrees,MaximumLimitDegrees,BreakForce,BreakTorque,EnableCollision,TransferStatus
91749,491,36541,"doorl","KEKMET(350-400psi)/DriverDoors/doorl",false,90804,20571,"KEKMET(350-400psi)",false,"0;0;0","0;0;1",true,"-0.4800033;1.25;0.194999874",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91750,2075,38132,"doorl","RCO_RUSCKO12(270)/DriverDoors/doorl",false,91077,25237,"RCO_RUSCKO12(270)",false,"0;0;0","0;0;1",true,"-0.710047245;0.309999853;0.4979794",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91751,5136,41191,"RearAxle","COMBINE(350-400psi)/RearAxle",false,91459,30960,"COMBINE(350-400psi)",false,"0;0;0","0;0;1",false,"0;-0.049999997;-1.99799919",true,1,10000,0,true,-12,12,Infinity,Infinity,false,BehavioralReference
91752,7554,43609,"FrontAxle","KEKMET(350-400psi)/FrontAxle",false,90804,20571,"KEKMET(350-400psi)",false,"0;0;0","0;0;1",false,"0;0.225665748;1.05999756",true,1,10000,0,true,-12,12,Infinity,Infinity,false,BehavioralReference
91753,8041,44093,"doorl","HAYOSIKO(1500kg, 250)/DriverDoors/doorl",false,90623,17078,"HAYOSIKO(1500kg, 250)",false,"0;0;0","0;0;1",true,"-0.8199966;0.6399993;1.80500138",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91754,10284,46334,"doorr","KEKMET(350-400psi)/DriverDoors/doorr",false,90804,20571,"KEKMET(350-400psi)",false,"0;0;0","0;0;1",true,"0.480003417;1.25;0.194999516",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91755,10854,46904,"Bootlid","FERNDALE(1630kg)/Bootlid/Bootlid",false,91163,26722,"FERNDALE(1630kg)",false,"0;0;0","0;1;0",true,"-2.92062759E-06;0.7520008;-1.80098832",false,0,0,0,true,0,95,Infinity,Infinity,false,BehavioralReference
91756,13302,49351,"doorr","GIFU(750/450psi)/DriverDoors/doorr",false,90335,11965,"GIFU(750/450psi)",false,"0;0;0","0;0;1",true,"1.07996714;1.85799932;3.34997964",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91757,13808,49866,"DoorRight","YARD/Building/Garage/GarageDoors/DoorRight",false,90705,18691,"YARD/Building/Garage/GarageDoors/ContactPivotRight",false,"0;0;0","0;0;1",true,"7.15255737E-07;5.14090061E-07;-4.76837158E-07",false,0,0,0,true,-100,0,Infinity,Infinity,false,BehavioralReference
91758,15480,51536,"doorr","HAYOSIKO(1500kg, 250)/DriverDoors/doorr",false,90623,17078,"HAYOSIKO(1500kg, 250)",false,"0;0;0","0;0;1",true,"0.820003152;0.6399994;1.80499887",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91759,18791,54851,"Bed","FLATBED/Bed",false,90406,13244,"FLATBED",false,"0;0;0","1;0;0",true,"0;0.9733;-2.20770264",false,0,0,0,true,-41,0,Infinity,Infinity,false,BehavioralReference
91760,19847,55911,"doorear","HAYOSIKO(1500kg, 250)/RearDoor/doorear",false,90623,17078,"HAYOSIKO(1500kg, 250)",false,"0;0;0","0;1;0",true,"-1.7285347E-06;1.57000089;-1.86",false,0,0,0,true,0,95,Infinity,Infinity,false,BehavioralReference
91761,23641,59702,"DoorLeft","YARD/Building/Garage/GarageDoors/DoorLeft",false,90203,9590,"YARD/Building/Garage/GarageDoors/ContactPivotLeft",false,"0;0;0","0;0;1",true,"2.14576721E-06;1.56462193E-07;-3.57627869E-07",false,0,0,0,true,0,100,Infinity,Infinity,false,BehavioralReference
91762,24333,60397,"Pivot","PLAYER/Pivot/AnimPivot/Camera/Ax/Pivot",false,91632,33891,"PLAYER/Pivot/AnimPivot/Camera/Ax",false,"0;0;0","1;0;0",true,"0;-7.419716E-08;6.225886E-08",false,0,0,0,true,-90,89,Infinity,Infinity,false,BehavioralReference
91763,26390,62447,"doorear","RCO_RUSCKO12(270)/RearDoor/doorear",false,91077,25237,"RCO_RUSCKO12(270)",false,"0;0;0","0;1;0",true,"6.2584877E-07;0.9260001;-1.69599533",false,0,0,0,true,0,95,Infinity,Infinity,false,BehavioralReference
91764,26491,62549,"doorl","GIFU(750/450psi)/DriverDoors/doorl",false,90335,11965,"GIFU(750/450psi)",false,"0;0;0","0;0;1",true,"-1.079977;1.85799885;3.349965",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91765,27590,63642,"door(right)","FERNDALE(1630kg)/DriverDoors/door(right)",false,91163,26722,"FERNDALE(1630kg)",false,"0;0;0","0;0;1",true,"0.8999808;0.370999336;0.757967234",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91766,27779,63833,"door(leftx)","FERNDALE(1630kg)/DriverDoors/door(leftx)",false,91163,26722,"FERNDALE(1630kg)",false,"0;0;0","0;0;1",true,"-0.899997532;0.370999336;0.757987857",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91767,27983,64036,"doorr","NPC_CARS/Amikset/KYLAJANI/DriverDoors/doorr",false,90042,6963,"NPC_CARS/Amikset/KYLAJANI",false,"0;0;0","0;0;1",true,"0.719977558;0.18598491;0.6699872",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91768,29086,65135,"doorr","RCO_RUSCKO12(270)/DriverDoors/doorr",false,91077,25237,"RCO_RUSCKO12(270)",false,"0;0;0","0;0;1",true,"0.7100072;0.310000032;0.498008877",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91769,31115,67173,"door(leftx)","NPC_CARS/KUSKI/DriverDoors/door(leftx)",false,89729,1244,"NPC_CARS/KUSKI",false,"0;0;0","0;0;1",true,"-0.8500338;0.249869436;-0.29997924",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91770,33269,69327,"doorr","TRAFFIC/VehiclesDirtRoad/Rally/FITTAN/DriverDoors/doorr",false,90905,22116,"TRAFFIC/VehiclesDirtRoad/Rally/FITTAN",false,"0;0;0","0;0;1",true,"0.6000161;0.186000228;0.670001268",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
91771,34350,70405,"door(right)","NPC_CARS/KUSKI/DriverDoors/door(right)",false,89729,1244,"NPC_CARS/KUSKI",false,"0;0;0","0;0;1",true,"0.8500385;0.249869511;-0.300063461",false,0,0,0,true,0,0,Infinity,Infinity,false,BehavioralReference
