Group,DonorLooseName,PartDefinitionId,LooseTransformId,Status,TopScore,CandidateCount,CandidateTransformIds,CandidateHierarchyPaths
"PartsCar","back panel(Clone)","vehicle.satsuma.part.back-panel",36232,Unresolved,0,0,"",""
"PartsCar","drum brake(Clone)","vehicle.satsuma.part.drum-brake-1",36371,Unresolved,0,0,"",""
"PartsCar","dashboard(Clone)","vehicle.satsuma.part.dashboard",37889,UniqueCandidatePendingBehavioralReview,300,1,"41257","SATSUMA(557kg, 248)/Dashboard"
"PartsCar","wishbone fl(Clone)","vehicle.satsuma.part.wishbone-fl",37982,UniqueCandidatePendingBehavioralReview,300,1,"68082","SATSUMA(557kg, 248)/Chassis/FL/Wishbone/Arm/IK_wishbone_fl/wishbone fl(xxxxx)"
"PartsCar","shock absorber(Clone)","vehicle.satsuma.part.shock-absorber-1",38197,Ambiguous,220,4,"45970;51146;64556;69228","SATSUMA(557kg, 248)/Chassis/RR/ShockTop/Arm/shock absorber(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/ShockTop/Arm/shock absorber rally(rlxxx) | SATSUMA(557kg, 248)/Chassis/RR/ShockTop/Arm/shock absorber rally(rrxxx) | SATSUMA(557kg, 248)/Chassis/RL/ShockTop/Arm/shock absorber(rlxxx)"
"PartsCar","bumper rear(Clone)","vehicle.satsuma.part.bumper-rear",38205,Unresolved,0,0,"",""
"PartsCar","radiator hose1(Clone)","vehicle.satsuma.part.radiator-hose1",38339,UniqueCandidatePendingBehavioralReview,300,1,"66320","SATSUMA(557kg, 248)/MiscParts/radiator hose1(xxxxx)"
"PartsCar","fuel tank pipe(Clone)","vehicle.satsuma.part.fuel-tank-pipe",38458,UniqueCandidatePendingBehavioralReview,300,1,"66251","SATSUMA(557kg, 248)/MiscParts/fuel tank pipe(xxxxx)"
"PartsCar","halfshaft(Clone)","vehicle.satsuma.part.halfshaft-1",39345,Ambiguous,300,2,"48021;57559","SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/halfshaft(xxxxx) | SATSUMA(557kg, 248)/Chassis/FR/halfshaft_fr/halfshaft(xxxxx)"
"PartsCar","disc brake(Clone)","vehicle.satsuma.part.disc-brake-1",41128,Unresolved,0,0,"",""
