Group,DonorLooseName,PartDefinitionId,LooseTransformId,Status,LooseRendererCount,MatchedPairCount,BestPoseCount,BestDistinctRendererSupport,BestPairSupport,LocalPosition,LocalRotation,LocalScale,InstalledRendererTransformIds,InstalledRendererHierarchyPaths
"PartsCar","back panel(Clone)","vehicle.satsuma.part.back-panel",36232,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","drum brake(Clone)","vehicle.satsuma.part.drum-brake-1",36371,AmbiguousMeshDerivedPose,1,2,2,1,1,"-0.6029993;-0.1500003;-1.16700029","1.70030168E-09;-2.68039868E-10;1;4.37145218E-08","1.00000012;0.9999999;0.9999999","40078","SATSUMA(557kg, 248)/RL/wheelRL/TireRL/drumbrake rl(xxxxx)"
"PartsCar","dashboard(Clone)","vehicle.satsuma.part.dashboard",37889,UniqueMeshDerivedPose,22,6,1,5,5,"-0.03927887;0.154418379;0.499396056","-0.0536193438;0.5948232;0.800210834;0.0545250326","1.0000006;1.00000048;1.00000024","37527;42987;46417;59612;64451","SATSUMA(557kg, 248)/Dashboard/Steering/steering_column2/tachometer(xxxx1)/Pivot/GFX/tachometer_lamp/tachometer_light_off | SATSUMA(557kg, 248)/Dashboard/Steering/steering_column2/tachometer(xxxx1)/Pivot/GFX/tachometer_lamp | SATSUMA(557kg, 248)/Dashboard/Steering/steering_column2/tachometer(xxxx1)/Pivot/GFX/NeedlePivot/tachometer_needle | SATSUMA(557kg, 248)/Dashboard/Steering/steering_column2/tachometer(xxxx1)/Pivot/GFX/tachometer_panel | SATSUMA(557kg, 248)/Dashboard/Steering/steering_column2/tachometer(xxxx1)/Pivot/GFX/tachometer"
"PartsCar","wishbone fl(Clone)","vehicle.satsuma.part.wishbone-fl",37982,UniqueMeshDerivedPose,1,1,1,1,1,"-0.320000052;-0.275430381;1.16699922","0.0370081663;0.7061376;0.7061379;0.03700602","1.0000006;1.00000024;1.00000012","68082","SATSUMA(557kg, 248)/Chassis/FL/Wishbone/Arm/IK_wishbone_fl/wishbone fl(xxxxx)"
"PartsCar","shock absorber(Clone)","vehicle.satsuma.part.shock-absorber-1",38197,AmbiguousMeshDerivedPose,2,4,4,1,1,"-0.4750001;-0.0533000343;-1.0970006","2.877677E-09;0.7071066;0.707106948;2.81702839E-09","1;1;1","54385","SATSUMA(557kg, 248)/Chassis/RL/TrailArm/Arm/ShockBottom/Arm/shock_bottom_mesh"
"PartsCar","bumper rear(Clone)","vehicle.satsuma.part.bumper-rear",38205,Unresolved,3,0,0,0,0,"","","","",""
"PartsCar","radiator hose1(Clone)","vehicle.satsuma.part.radiator-hose1",38339,UniqueMeshDerivedPose,1,1,1,1,1,"-0.2300005;0.180808932;1.40000045","1.24547611E-07;0.7071068;0.707106769;-1.17530028E-07","1.00000012;1.00000024;1.00000024","66320","SATSUMA(557kg, 248)/MiscParts/radiator hose1(xxxxx)"
"PartsCar","fuel tank pipe(Clone)","vehicle.satsuma.part.fuel-tank-pipe",38458,UniqueMeshDerivedPose,1,1,1,1,1,"0.5999989;0.0582874864;-1.60000086","3.09086161E-08;0.707106769;0.7071068;-3.09086161E-08","1;1.00000012;1.00000012","66251","SATSUMA(557kg, 248)/MiscParts/fuel tank pipe(xxxxx)"
"PartsCar","halfshaft(Clone)","vehicle.satsuma.part.halfshaft-1",39345,AmbiguousMeshDerivedPose,2,2,2,1,1,"-0.06927484;-0.222925052;1.162524","-1.41300682E-09;1;-2.38418579E-07;6.66702E-08","1.00000036;1;1.00000012","40854","SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/halfshaft(xxxxx)/gearbox_axle2"
"PartsCar","disc brake(Clone)","vehicle.satsuma.part.disc-brake-1",41128,AmbiguousMeshDerivedPose,1,2,2,1,1,"-0.579999447;-0.150000066;1.16699934","-2.83838631E-07;-5.2399173E-08;1;-2.254953E-06","0.9999999;0.9999999;1","36394","SATSUMA(557kg, 248)/FL/AckerFL/wheelFL/TireFL/OFFSET/discbrake(flxxx)"
"PartsCar","strut fl(Clone)","vehicle.satsuma.part.strut-fl",41289,Unresolved,1,0,0,0,0,"","","","",""
"PartsCar","stock steering wheel(Clone)","vehicle.satsuma.part.stock-steering-wheel",42060,Unresolved,3,0,0,0,0,"","","","",""
