ComponentId,GameObjectId,TransformId,HierarchyPath,HasBoltedYES,BoltedYES,HasBoltedNO,BoltedNO,ReferencesTightness,ReferencesBREAK,ReferencesSpeedKMH,LooseBreakSpeedKph,PartialCheckSpeedKph,ChanceMaximumTightness,ChanceDivisor,HasChanceFormula,IsWheelRetentionPolicy,TransferStatus
110020,21036,57097,"CARPARTS/PartsCar/bootlid(Clone)",true,24,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
112769,30242,66293,"CARPARTS/PartsCar/bumper front(Clone)",true,6,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
104715,2149,38205,"CARPARTS/PartsCar/bumper rear(Clone)",true,6,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
110761,23566,59626,"CARPARTS/PartsCar/door left(Clone)",true,28,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
112705,30067,66117,"CARPARTS/PartsCar/door right(Clone)",true,28,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
113538,32861,68921,"CARPARTS/PartsCar/fender left(Clone)",true,28,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
106910,9801,45852,"CARPARTS/PartsCar/fender right(Clone)",true,28,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
108392,14991,51053,"CARPARTS/PartsCar/grille(Clone)",true,6,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
111922,27648,63703,"CARPARTS/PartsCar/hood(Clone)",true,8,true,0,true,false,false,0,0,0,0,false,false,ConfigurationTransferred
113900,34253,70305,"CARPARTS/PartsCar/wheel_steel1",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
111136,24941,61000,"CARPARTS/PartsCar/wheel_steel2",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
108243,14477,50534,"CARPARTS/PartsCar/wheel_steel3",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
111898,27568,63620,"CARPARTS/PartsCar/wheel_steel4",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
114016,34684,70738,"CARPARTS/PartsGT/wheel_gt1",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
109103,17663,53724,"CARPARTS/PartsGT/wheel_gt2",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
112738,30107,66158,"CARPARTS/PartsGT/wheel_gt3",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
107110,10549,46605,"CARPARTS/PartsGT/wheel_gt4",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
110216,21679,57736,"REPAIRSHOP/JunkCar4/Parts/wheel_steel5",true,1,true,0,true,true,true,5,33,32,100,true,true,ConfigurationTransferred
113307,32023,68082,"SATSUMA(557kg, 248)/Chassis/FL/Wishbone/Arm/IK_wishbone_fl/wishbone fl(xxxxx)",true,2,true,0,true,true,false,0,0,32,100,true,false,ConfigurationTransferred
107527,11974,48021,"SATSUMA(557kg, 248)/Chassis/FL/halfshaft_fl/halfshaft(xxxxx)",true,2,true,0,true,true,false,0,0,32,100,true,false,ConfigurationTransferred
