OwnerPartDefinitionId,OwnerPartTransformId,ComponentId,TriggerGameObjectId,TriggerTransformId,TriggerName,TriggerHierarchyPath,HandChild,ActivateThisGameObjectId,ActivateThisHierarchyPath,ActivationRoots,RequiredGameObjectId,RequiredHierarchyPath,Required1GameObjectId,Required1HierarchyPath,ThisPartGameObjectId,ThisPartName,DetachPartGameObjectId,DetachPartHierarchyPath,ParentGameObjectId,ParentHierarchyPath,BoltsGameObjectId,BoltsHierarchyPath,BoltReferenceStatus,ReferencesBolts,ReferencesBolted
"vehicle.satsuma.part.carburetor",38401,105785,6038,42092,"trigger_airfilter","CARPARTS/PartsMotor/carburator(Clone)/trigger_airfilter","airfilter(Clone)",0,"","",0,"",0,"",4088,"Airfilter",0,"",16,"CARPARTS/PartsMotor/carburator(Clone)/pivot_airfilter",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,114400,36012,72055,"trigger_alternator","CARPARTS/PartsMotor/block(Clone)/trigger_alternator","alternator(Clone)",0,"","",0,"",0,"",17553,"Alternator",0,"",17585,"CARPARTS/PartsMotor/block(Clone)/pivot_alternator",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,110896,24044,60106,"trigger_alternator belt","CARPARTS/PartsMotor/block(Clone)/trigger_alternator belt","alternator belt(Clone)",0,"","",0,"",0,"",0,"",0,"",3168,"CARPARTS/PartsMotor/block(Clone)/pivot_alternator belt",0,"",NotReferenced,false,false
"vehicle.satsuma.part.headlight-left",45890,112035,27977,64030,"trigger_bulb1","CARPARTS/PartsCar/headlight left(Clone)/trigger_bulb1","light bulb(Clone)",0,"","",0,"",0,"",28459,"HeadlightBulbLeft",0,"",11559,"CARPARTS/PartsCar/headlight left(Clone)/pivot_bulb1",0,"",NotReferenced,false,false
"vehicle.satsuma.part.headlight-right",63443,108352,14852,50910,"trigger_bulb2","CARPARTS/PartsCar/headlight right(Clone)/trigger_bulb2","light bulb(Clone)",0,"","",0,"",0,"",34786,"HeadlightBulbRight",0,"",4659,"CARPARTS/PartsCar/headlight right(Clone)/pivot_bulb2",0,"",NotReferenced,false,false
"vehicle.satsuma.part.engine-block",66906,108283,14610,50664,"trigger_camshaft","CARPARTS/PartsMotor/block(Clone)/trigger_camshaft","camshaft(Clone)",0,"","",0,"",0,"",34424,"Camshaft",0,"",31250,"CARPARTS/PartsMotor/block(Clone)/pivot_camshaft",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.camshaft",42592,114001,34605,70660,"trigger_camshaft gear","CARPARTS/PartsMotor/camshaft(Clone)/trigger_camshaft gear","camshaft gear(Clone)",0,"","",0,"",0,"",8700,"CamshaftGear",0,"",2141,"CARPARTS/PartsMotor/camshaft(Clone)/pivot_camshaft gear",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.cylinder-head",41296,112612,29767,65816,"trigger_carburator","CARPARTS/PartsMotor/cylinder head(Clone)/Triggers Carbs/trigger_carburator","carburator(Clone)",0,"","",0,"",0,"",23454,"Carburator",0,"",6630,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_carburator",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.cylinder-head",41296,113721,33539,69598,"trigger_carburator_racing","CARPARTS/PartsMotor/cylinder head(Clone)/Triggers Carbs/trigger_carburator_racing","racing carburators(Clone)",0,"","",0,"",0,"",8183,"Racing Carburators",0,"",6630,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_carburator",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.cylinder-head",41296,112116,28217,64272,"trigger_carburator_su","CARPARTS/PartsMotor/cylinder head(Clone)/Triggers Carbs/trigger_carburator_su","twin carburators(Clone)",0,"","",0,"",0,"",7858,"Twin Carburators",0,"",6630,"CARPARTS/PartsMotor/cylinder head(Clone)/pivot_carburator",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard-meters",52392,111939,27688,63743,"trigger_cd","CARPARTS/PartsCar/dashboard meters(Clone)/TriggersRadio/trigger_cd","cd player(Clone)",0,"","",0,"",0,"",14325,"CD_player",0,"",1927,"CARPARTS/PartsCar/dashboard meters(Clone)/pivot_radio",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard-meters",52392,113412,32476,68535,"trigger_clock","CARPARTS/PartsCar/dashboard meters(Clone)/TriggersGauge/trigger_clock","clock gauge(Clone)",0,"","",0,"",0,"",28706,"GaugeClock",0,"",12719,"CARPARTS/PartsCar/dashboard meters(Clone)/pivot_gauge",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.flywheel",66698,112523,29424,65473,"trigger_clutch cover plate","CARPARTS/PartsMotor/flywheel(Clone)/trigger_clutch cover plate","clutch cover plate(Clone)",0,"","",0,"",0,"",11583,"ClutchCoverplate",29466,"Database/DatabaseMotor/Flywheel",6056,"CARPARTS/PartsMotor/flywheel(Clone)/pivot_clutch cover plate",0,"",EvidenceBackedNullDonorObjectException,true,true
"vehicle.satsuma.part.clutch-cover-plate",53872,113571,33025,69085,"trigger_clutch disc","CARPARTS/PartsMotor/clutch cover plate(Clone)/trigger_clutch disc","clutch disc(Clone)",0,"","",0,"",11583,"Database/DatabaseMotor/ClutchCoverplate",5151,"ClutchPlate",0,"",27522,"CARPARTS/PartsMotor/clutch cover plate(Clone)/pivot_clutch disc",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.clutch-cover-plate",53872,106353,8045,44097,"trigger_clutch pressure plate","CARPARTS/PartsMotor/clutch cover plate(Clone)/trigger_clutch pressure plate","clutch pressure plate(Clone)",0,"","",0,"",0,"",14555,"ClutchPressureplate",0,"",19030,"CARPARTS/PartsMotor/clutch cover plate(Clone)/pivot_clutch pressure plate",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,111483,26202,62260,"trigger_crankshaft","CARPARTS/PartsMotor/block(Clone)/trigger_crankshaft","crankshaft(Clone)",0,"","",0,"",0,"",32629,"Crankshaft",0,"",1628,"CARPARTS/PartsMotor/block(Clone)/pivot_crankshaft",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.crankshaft",68769,111353,25685,61746,"trigger_crankshaft pulley","CARPARTS/PartsMotor/crankshaft(Clone)/trigger_crankshaft pulley","crankshaft pulley(Clone)",0,"","",0,"",0,"",12950,"Crankwheel",0,"",29135,"CARPARTS/PartsMotor/crankshaft(Clone)/pivot_crankshaft pulley",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,113891,34163,70214,"trigger_cylinder head","CARPARTS/PartsMotor/block(Clone)/trigger_cylinder head","cylinder head(Clone)",0,"","",0,"",0,"",10083,"Cylinderhead",0,"",8120,"CARPARTS/PartsMotor/block(Clone)/pivot_cylinder head",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard",37889,111488,26219,62277,"trigger_dash_cover","CARPARTS/PartsCar/dashboard(Clone)/trigger_dash_cover","",32218,"CARPARTS/PartsCar/dashboard(Clone)/dash cover(xxxxx)","ActivateThis1=32218:CARPARTS/PartsCar/dashboard(Clone)/dash cover(xxxxx)",0,"",0,"",0,"",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.engine-block",66906,104661,1978,38033,"trigger_distributor","CARPARTS/PartsMotor/block(Clone)/trigger_distributor","distributor(Clone)",0,"","",0,"",0,"",18381,"Distributor",0,"",32539,"CARPARTS/PartsMotor/block(Clone)/pivot_distributor",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.gearbox",37593,106363,8084,44136,"trigger_drive gear","CARPARTS/PartsMotor/gearbox(Clone)/trigger_drive gear","drive gear(Clone)",0,"","",0,"",0,"",8074,"Drivegear",0,"",7662,"CARPARTS/PartsMotor/gearbox(Clone)/pivot_drive gear",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,113357,32229,68285,"trigger_engine plate","CARPARTS/PartsMotor/block(Clone)/trigger_engine plate","engine plate(Clone)",0,"","",0,"",0,"",12040,"Engineplate",0,"",23040,"CARPARTS/PartsMotor/block(Clone)/pivot_engine plate",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.dashboard",37889,114104,34976,71024,"trigger_extra_gauges","CARPARTS/PartsCar/dashboard(Clone)/trigger_extra_gauges","extra gauges(Clone)",24022,"CARPARTS/PartsCar/dashboard(Clone)/extra gauges(xxxxx)","ActivateThis=24022:CARPARTS/PartsCar/dashboard(Clone)/extra gauges(xxxxx)",0,"",0,"",3050,"ExtraGauges",0,"",0,"",0,"",NotReferenced,false,false
"vehicle.satsuma.part.fender-left",68921,107929,13288,49337,"trigger_flare_fl","CARPARTS/PartsCar/fender left(Clone)/trigger_flare_fl","fender flare fl(Clone)",0,"","",0,"",0,"",24596,"Flares_FL",0,"",30004,"CARPARTS/PartsCar/fender left(Clone)/pivot_flares_fl",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.fender-right",45852,112105,28164,64219,"trigger_flare_fr","CARPARTS/PartsCar/fender right(Clone)/trigger_flare_fr","fender flare fr(Clone)",0,"","",0,"",0,"",18635,"Flares_FR",0,"",6440,"CARPARTS/PartsCar/fender right(Clone)/pivot_flares_fr",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.crankshaft",68769,114349,35895,71939,"trigger_flywheel","CARPARTS/PartsMotor/crankshaft(Clone)/trigger_flywheel","",0,"","",0,"",0,"",0,"",0,"",12530,"CARPARTS/PartsMotor/crankshaft(Clone)/pivot_flywheel",0,"",EvidenceBackedNullDonorObjectException,true,false
"vehicle.satsuma.part.engine-block",66906,111106,24855,60914,"trigger_fuel pump","CARPARTS/PartsMotor/block(Clone)/trigger_fuel pump","fuel pump(Clone)",0,"","",0,"",0,"",27941,"Fuelpump",0,"",16327,"CARPARTS/PartsMotor/block(Clone)/pivot_fuel pump",0,"",EvidenceBackedNullDonorObjectException,true,false
