AnchorId,StableEntityId,CellX,CellZ,PositionX,PositionY,PositionZ,EulerX,EulerY,EulerZ
world-gameplay:0b03b3508f6be68192698ac5f7ae7550,0b03b3508f6be68192698ac5f7ae7550,0,-2,170.83,1.4309996,-1023.005,0,28.049997,0
world-gameplay:2d9650c25f6324b6367493f48c56c908,2d9650c25f6324b6367493f48c56c908,0,-2,362.28,-35.029,-828.725,0,0,0
world-gameplay:3be598c0aa9798dd8ab43e20f4a35e8f,3be598c0aa9798dd8ab43e20f4a35e8f,0,-3,150.19499,0.95,-1039.58,0,180,0
world-gameplay:504a5620f62904b2d93d7803efc4eecf,504a5620f62904b2d93d7803efc4eecf,0,-3,157.745,0.95,-1018.43,0,180,0
world-gameplay:615645f7ce4d6ee6836547a00c3dedb9,615645f7ce4d6ee6836547a00c3dedb9,0,-2,279.97998,-2.929,-606.625,0,0,0
world-gameplay:68783d0b852bcffb1eced37581f4aff8,68783d0b852bcffb1eced37581f4aff8,0,-2,177.67,-1.7789999,-894.185,0,0,0
world-gameplay:6f4c37ebb3d0b019392e9fe6a16da65d,6f4c37ebb3d0b019392e9fe6a16da65d,0,-3,151.935,0.95,-1033.13,0,180,0
world-gameplay:7201412942822b5b4724b5e72c74065f,7201412942822b5b4724b5e72c74065f,0,-2,177.67,-1.7789999,-894.185,0,0,0
world-gameplay:bb26b42e9fe463fd254bc0478a56946d,bb26b42e9fe463fd254bc0478a56946d,0,-3,155.055,0.95,-1033.13,0,180,0
world-gameplay:c4bbad1ab8714ff807bee9195a77399a,c4bbad1ab8714ff807bee9195a77399a,0,-3,139.045,0.95,-1033.13,0,180,0
world-gameplay:d7b7b8ce9d3e448a346b5344e18c2023,d7b7b8ce9d3e448a346b5344e18c2023,0,-2,166.39,1.4309996,-1020.635,0,28.049997,0
world-gameplay:dcd8f98c103fb4eb4640d2abb757d089,dcd8f98c103fb4eb4640d2abb757d089,0,-2,161.94,1.4309994,-1018.265,0,28.049997,0
world-gameplay:dd8587032e6c12708151d60bd881aec6,dd8587032e6c12708151d60bd881aec6,0,-2,177.67,-1.7789999,-894.185,0,0,0
world-gameplay:fc6a437b97ea997ca03a5e8bad1ba9b7,fc6a437b97ea997ca03a5e8bad1ba9b7,0,-3,149.245,0.95,-1018.43,0,180,0
world-gameplay:ff8e5e6cb145461b84108d4f24eaee07,ff8e5e6cb145461b84108d4f24eaee07,0,-3,153.495,0.95,-1033.23,0,180,0
