ColliderStableId,EntityStableId,ExpectedColliderType,ExpectedMeshGuid,OwnershipPolicy,Reason
0ae88a3da38af1e0a003d3a69854b0b3,299e74699f391a0060e9d8d94f7d5554,BoxCollider,,GlobalLegacy,Home spawn structural safety
0ce5d9d59bc5a7f7dbb893f91ca5380e,84b21f894bf2e357f71a0f0caf61c42d,BoxCollider,,GlobalLegacy,Home spawn structural safety
12a3e163404160cb539abfdf190c71f0,cb01ace10f605a79de39069b7e159fbf,MeshCollider,9226fb0fed4998441953257b48e9d8b0,GlobalLegacy,Continuous highway bridge traversal
212ed709d9fe18a053a16e4665e0ad13,c474c2d0de17df77006aea17d46dcd28,BoxCollider,,GlobalLegacy,Home spawn structural safety
2c84474ad1d76b12ee4794afac13308c,9cd5ed4a8166d327cd6343fa8c274d20,BoxCollider,,GlobalLegacy,Home spawn structural safety
2ca6b408c8daeb8f6ae2b39d9fa7009c,4bb072bb095570d5315c475342279879,MeshCollider,963d44d96ebb7d04cbe1ad1dafdb9c13,GlobalLegacy,Continuous roadside traversal
3b3a2f48964ceb2b8b24d2f0e2993678,47ef3eda37c9cedef90873f489a77961,MeshCollider,c2115de4b3424934db4848a43a444e54,GlobalLegacy,Continuous pavement traversal
3da2ca19c9b23a8ade899f1c38cf2f00,38f547477bf6c6e69ea47c4ea93a479a,MeshCollider,8ea2d67f39c58124cb2c999ecca371db,GlobalLegacy,Ski hill traversal without split
5005b5d18db80d46f1f0b595cae148c7,363d154038eac020864c25d805b0a949,MeshCollider,9d0dc5349928bea4a97b36bb7cfd7efc,GlobalLegacy,Continuous terrain support
5e74134f900be348e55a762eb3938e7c,40bfaf26ded22db2438894014bbbd415,MeshCollider,66153ce7364c1e04cb739c4d81250c27,GlobalLegacy,Lakebed safety without water-surface blocking
6015c03893dd387866af9d44dc923f4b,57f50fe26a6eb7fd5077f63f5401089e,BoxCollider,,GlobalLegacy,Home spawn structural safety
7a9cc75e6a38353707df38ecf39bbb28,22c32fef63b382223bc6b72b88408633,MeshCollider,076df6b846061344a856e514e7920651,GlobalLegacy,Home spawn structural safety
8f920fbae402fa2ea57b8ae3944b14fb,e1e873a2f9eb45a7cef042b86af83461,MeshCollider,c8e179726fe4ea0449003f492fe76563,GlobalLegacy,Continuous road traversal
9426ee42befcd0a4ebbb63ed7e28b284,d0cdd91074628f9fefbfced519cb67be,MeshCollider,9e63e6e08a45c5343a352363ab7c34ea,GlobalLegacy,Continuous dirt bridge traversal
9741efe26eff4a0ed4cf9ca4a765fa71,743fe46baa5b2747e5eea0d1cdfcb679,BoxCollider,,GlobalLegacy,Home spawn structural safety
9a03db37e0aa4d69c3a3e6364283b47c,cb19f48779affb231784985befe9d0ff,MeshCollider,bad996b890d313349a0db428bc446e14,GlobalLegacy,Home spawn structural safety
9a4a138030d72f45e1c36eded0385890,01f2fa14a51c9ac735f1be19e32b7112,MeshCollider,be57e9a8b284a85469221d9da34d1081,GlobalLegacy,Continuous asphalt traversal
a65cb4c02f20ba74a90bf4365a4a5db1,db88c6e5690704e84b55f09b0fd870d3,BoxCollider,,GlobalLegacy,Home spawn structural safety
a7151f622c20ca30b135a0501d91c936,955c924423eb767f622bd89b84c5c62c,MeshCollider,216c10525466d2a4ca69f785d6dbcefe,GlobalLegacy,Continuous rail tunnel traversal
ac4f682fb3586bc87277e3c7a60944d0,6c67caadad48505de0fb7c7a6f590426,MeshCollider,e998e95284781ba45b1ceb2277292c22,GlobalLegacy,Continuous terrain support
aec6da9a03f2c4738502d84f912a069b,2dee048c54a6fce0a349dcae54f43e8b,MeshCollider,d047899dc789beb4a97f47c3921c1b09,GlobalLegacy,Continuous terrain support
b288273e0724b52758d96935dc08a62b,2ed513d86131a360d2a9109a723438b4,BoxCollider,,GlobalLegacy,Home spawn structural safety
c1a7c2bd782c8e6a95b13801eefb1b2f,f08c1d0d2f4dd0ae371132f1a02f55d8,BoxCollider,,GlobalLegacy,Home spawn structural safety
c89134a63a9d586aad7a1d60fece16ca,5eb7f09786b02fadbf43a66e007fbef4,BoxCollider,,GlobalLegacy,Home spawn structural safety
c9f70d989e743b3541f5cc27038dd9e6,08e5422586d08f847cadd97509957b2f,MeshCollider,da425dc8eed517440b6ef1f5a13862a4,GlobalLegacy,Home spawn structural safety
cff5a727f3e67bbd4ca0d5225e9bf2a2,3126994543fb175171b95b18b546d349,MeshCollider,c32c8a0a3ec40f84dbef6a660fb82314,GlobalLegacy,Continuous track field traversal
d10a7e57eae1578b96b2a6fa3a33e56a,c951d833196444672f2969f743c5607f,BoxCollider,,GlobalLegacy,Home spawn structural safety
db909aaa09b8fadb17ea32305cef83bb,b3326cd1a123a496fe44b26d64dda2e6,MeshCollider,1dec28816307f7145be781eff2d3d7c3,GlobalLegacy,Continuous dirt road traversal
dca1c18d7d5d0e94524e7e8d420143ca,cbc4c1382e1808eb098c0ba0cd423fb5,BoxCollider,,GlobalLegacy,Home spawn structural safety
e25963691fe3270ecea7719560c8ca68,a22aca3591d398a904329d3a830b0722,MeshCollider,c1f2a3a5bcea99941a9c9f917697a612,GlobalLegacy,Continuous railroad traversal
eb098544e0bf5382bd2f938316f8d833,c578f914304beb0ed461b440d81961de,MeshCollider,c3bd641cdd610da4198c63c95fb93f4e,GlobalLegacy,Continuous gravel traversal
fd404f21a0f2c94da4c2c5eb85f3bc95,2987bdc3576114fda4b4b319bd0d4681,MeshCollider,62329ef689f366b4290c277a9647d692,GlobalLegacy,Continuous field traversal
