StableId,SourceId,SourceObjectId,TransformId,ParentObjectId,ParentStableId,HierarchyPath,OriginalName,NormalizedName,SemanticCategory,LocalPositionX,LocalPositionY,LocalPositionZ,LocalRotationX,LocalRotationY,LocalRotationZ,LocalRotationW,LocalScaleX,LocalScaleY,LocalScaleZ,SourcePositionX,SourcePositionY,SourcePositionZ,SourceRotationX,SourceRotationY,SourceRotationZ,SourceRotationW,SourceScaleX,SourceScaleY,SourceScaleZ,ConvertedPositionX,ConvertedPositionY,ConvertedPositionZ,SourceBoundsMinX,SourceBoundsMinY,SourceBoundsMinZ,SourceBoundsMaxX,SourceBoundsMaxY,SourceBoundsMaxZ,ConvertedBoundsMinX,ConvertedBoundsMinY,ConvertedBoundsMinZ,ConvertedBoundsMaxX,ConvertedBoundsMaxY,ConvertedBoundsMaxZ,MeshGuid,MeshName,MeshAssetPath,MaterialGuids,ColliderIds,StaticFlags,Active,CellId,InteriorExterior,LandmarkTag,ReplacementStatus,TransferStatus,SourceSha256,HasGeometry,ReferenceWorldEligible,ComponentClassIds
d99ba2b3c2e4d7bc793a1b730a3dc682,msc-donor-level2-39e5c8f3,17,36062,31696,831c14347dd74364293b4c5b648a246b,TRAFFIC/VehiclesHighway/MENACE/wheelRR/Wheel/Rim,Rim,rim,InteractivePropCandidate,5.567074E-05,-0,-0,0,0,0,1,1.2,1.2,1.2,-1608.596,5.560386,273.73022,-0.0092159165,-0.6979882,-0.040352695,0.71491206,1.44,1.2,1.2000002,-1438.616,7.1713862,-766.8948,-1608.8225,5.33133,273.61096,-1608.3691,5.7889705,273.86002,-1438.8425,6.94233,-767.01404,-1438.3892,7.3999705,-766.765,c60d41972d8aece4d9bcdefd39a028a6,rim_rally,Mesh/rim_rally.asset,0098c32a9775a294e8f309a48e2cc123,,0,1,excluded,Exterior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;23;33
6cfaec2e4c495e20a40afe92004fec6a,msc-donor-level2-39e5c8f3,18,36063,26341,087642ac0f0e713b1a815907fbd076b8,STORE/LOD/ActivateStore/SpraycanProducts/Spray03,Spray03,spray03,ColliderOnly,-1.6677373E-05,-0,0.2,0,0,0,1,1,1,1,-1550.6251,5.525244,1179.8379,-5.7246103E-07,-0.2806834,1.6652716E-07,0.9598004,1.0000001,1.0000001,1,-1380.6451,7.1362443,139.21289,-1550.6251,5.525244,1179.8379,-1550.6251,5.525244,1179.8379,-1380.6451,7.1362443,139.21289,-1380.6451,7.1362443,139.21289,,,,,100443,0,1,cell_-3_0,Exterior,TownService,DonorReference,Extracted,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,1,4;114;136
94e9e69a1202ff9f6abf097fe97cff17,msc-donor-level2-39e5c8f3,19,36064,12994,5c92de0654ccc39515087eaccaa64e9a,YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Where/WorldsMan-News-where41-text,WorldsMan-News-where41-text,worldsman-news-where41-text,BuildingInterior,4.59,0.2,-1.42,0.7071068,0,0,0.7071068,0.05,0.06,0,5.0899987,-72.759995,-1.4199926,-0.7071066,-6.592178E-08,1.323822E-08,0.70710707,0.050000012,-0.060000006,0,175.06999,-71.148994,-1042.045,5.0899987,-72.759995,-1.4199926,5.0899987,-72.759995,-1.4199926,175.06999,-71.148994,-1042.045,175.06999,-71.148994,-1042.045,,,,0000000000000000e000000000000000,,0,0,excluded,Interior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;23;102
cbb44ebd8566aad81957e519a4eddbb2,msc-donor-level2-39e5c8f3,20,36065,34310,fd62673fc2621585f7e9fa7414e33c89,CARPARTS/PartsMotor/engine plate(Clone)/trigger_starter,trigger_starter,trigger-starter,ColliderOnly,0.06999999,0.110000536,-0.06000006,0,0,0,1,1,1,1,-16.136473,-0.072265536,-2.4555511,-0.56099397,0.43044844,-0.43044838,0.5609939,0.99999994,1,0.99999994,153.84352,1.5387344,-1043.0806,-16.136473,-0.072265536,-2.4555511,-16.136473,-0.072265536,-2.4555511,153.84352,1.5387344,-1043.0806,153.84352,1.5387344,-1043.0806,,,,,98974,0,1,excluded,Exterior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;114;135
b2f988842fbd9f52370994c7d6548f52,msc-donor-level2-39e5c8f3,24,36069,29842,eca4170a7c8107ec434f4740c61d9f97,YARD/Building/Garage/BatteryCharger/battery_charger/WirePlus/cable,cable,cable,Wire,0,0,0,1,-2.1816616E-16,-1.6471578E-23,7.5500154E-08,1,1,1,-14.465255,0.45661947,1.4870474,-0.17100681,-0.68611705,0.6861172,-0.17100675,1.0000002,1.0000002,1,155.51474,2.0676193,-1039.138,-14.484063,0.45646447,1.4665445,-14.445065,0.7755545,1.504949,155.49593,2.0674644,-1039.1584,155.53493,2.3865545,-1039.12,3cc86d5fe6f725f4084a7dedba4f2f9f,cable,Mesh/cable.asset,0098c32a9775a294e8f309a48e2cc123,,0,1,cell_0_-3,Exterior,,DonorReference,Extracted,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,1,4;137
c9996a12220060b4152c162b1fee8f9a,msc-donor-level2-39e5c8f3,25,36070,29256,64716e6adfc2b9af2e53f796cc052878,YARD/Building/Dynamics/FuseTable/Fusetable/Fuse3Pivot/fuseholder03/FuseTrigger,FuseTrigger,fusetrigger,ColliderOnly,-0,0,-0,-7.652974E-15,-5.048314E-08,-3.3810544E-08,1,1,1,1,-12.316175,1.2203305,8.830071,-0.70710695,-1.7202666E-08,1.83222E-07,0.7071066,1.0000002,1.0000001,1.0000001,157.66382,2.8313303,-1031.7949,-12.316175,1.2203305,8.830071,-12.316175,1.2203305,8.830071,157.66382,2.8313303,-1031.7949,157.66382,2.8313303,-1031.7949,,,,,98975,0,0,cell_0_-3,Exterior,,DonorReference,Extracted,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,1,4;114;135
6151c6d68efc1104409ad2448260832e,msc-donor-level2-39e5c8f3,29,36074,31527,b6a89fedacf6bb1bc89197ec1579d3ab,"HAYOSIKO(1500kg, 250)/LOD/FuelFiller/Pivot/body_fuel_hatch/Trigger",Trigger,trigger,ColliderOnly,-0.085,0.015,0,0,0,0,1,1,1,1,24.400045,0.39100325,-46.770214,0.06593023,0.7040264,0.70402646,-0.06593021,0.99999994,0.99999994,1,194.38004,2.0020032,-1087.3953,24.400045,0.39100325,-46.770214,24.400045,0.39100325,-46.770214,194.38004,2.0020032,-1087.3953,194.38004,2.0020032,-1087.3953,,,,,98976,0,1,excluded,Exterior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;114;135
84b7d665f5a0fd4dce483749176a2138,msc-donor-level2-39e5c8f3,31,36076,12994,5c92de0654ccc39515087eaccaa64e9a,YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Where/WorldsMan-News-where35-text,WorldsMan-News-where35-text,worldsman-news-where35-text,BuildingInterior,4.59,0.2,-1.42,0.7071068,0,0,0.7071068,0.05,0.06,0,5.0899987,-72.759995,-1.4199926,-0.7071066,-6.592178E-08,1.323822E-08,0.70710707,0.050000012,-0.060000006,0,175.06999,-71.148994,-1042.045,5.0899987,-72.759995,-1.4199926,5.0899987,-72.759995,-1.4199926,175.06999,-71.148994,-1042.045,175.06999,-71.148994,-1042.045,,,,0000000000000000e000000000000000,,0,0,excluded,Interior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;23;102
78dcef0195f981a1bb23f02ded959bf1,msc-donor-level2-39e5c8f3,38,36083,12584,013729d6c60e5f7d77a3eb4c7367caf1,JONNEZ ES(Clone)/LOD/Suspension/Steering/SteeringPivot/ForkFront/Pivot/TirePivot/Pivot/tire_mesh,tire_mesh,tire-mesh,InteractivePropCandidate,0,-0,0,0.50000024,-0.49999982,-0.4999999,-0.5000001,1,1,1,-19.730034,-0.3655834,6.5177603,0.75814,-0.64519066,-0.071157865,-0.062364254,1.0000001,1.0000002,1.0000002,150.24997,1.2454165,-1034.1073,-19.814672,-0.58675176,6.3019323,-19.645395,-0.14441504,6.733588,150.16533,1.0242481,-1034.3231,150.3346,1.4665849,-1033.8914,a6521728915f6774bb2b05cae790458c,jonnez_tire,Mesh/jonnez_tire.asset,385e2c95dfb52264aafc4c5b16fec253,,0,1,excluded,Exterior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;23;33
1fc036ecff6d95fa20626f5fd11d4d68,msc-donor-level2-39e5c8f3,39,36084,25705,ff59197c6d01fdc9b40e7000a4711916,GUI/HUD/Hunger/BarBG,BarBG,barbg,InteractivePropCandidate,0.25,0,0.022,0,0,0,1,1.5,0.3,1,-9.440001,8.8,0.022,0,0,0,1,1.5,0.3,1,160.54,10.411,-1040.603,-9.440001,8.8,0.022,-9.440001,8.8,0.022,160.54,10.411,-1040.603,160.54,10.411,-1040.603,0000000000000000e000000000000000,,,5481b7387c733314396f66259fd01099,,0,1,excluded,Exterior,,DonorReference,ClassifiedNonWorld,39e5c8f38edd83652325b403e06449eb6fe4e5c588e4dad2bf04b5c9ff406c31,1,0,4;23;33
