StableId,SourceObjectId,HierarchyPath,OriginalName,SemanticCategory,LandmarkTag,PositionX,PositionY,PositionZ,BoundsMinX,BoundsMinY,BoundsMinZ,BoundsMaxX,BoundsMaxY,BoundsMaxZ,MeshGuid,CellId,ReplacementStatus,TransferStatus
161f1947ab0236ca3cc8f38f5eafd13f,18002,LANDFILL/SHITHOUSE,SHITHOUSE,BuildingExterior,Landfill,-609.63,14.49,-1688.729,-609.63,14.49,-1688.729,-609.63,14.49,-1688.729,ca253820b91d15442b2e5f464a584cfd,cell_-2_-4,DonorReference,ExtractedBoundsNeedsReview
16445375121da21b9f46882b9d2df474,25535,MAP/MESH/BRIDGE_highway/NoRain,NoRain,ColliderOnly,Bridge,1615.712,8.281064,34.90747,1615.712,8.281064,34.90747,1615.712,8.281064,34.90747,,cell_3_0,DonorReference,Extracted
1d50e7313ee1bdc52fbbf6ea10a3efa3,4414,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,-1279.62,23.769886,-1409.485,-1279.62,23.769886,-1409.485,-1279.62,23.769886,-1409.485,,cell_-3_-3,DonorReference,Extracted
4007b3fc6aee20fbd816edd334917de4,7597,REPAIRSHOP/JunkCar4,JunkCar4,BuildingExterior,RepairWorkshop,48.69606,1.3149999,-1988.3721,47.80648,0.42601967,-1990.2124,49.559586,2.1911936,-1986.4594,6f23b447e9103f34db9bea9cc32612d8,cell_0_-4,DonorReference,Extracted
40bfaf26ded22db2438894014bbbd415,18425,MAP/MESH/LAKEBED,LAKEBED,Water,MajorWater,2007.2153,-2.7191553,-1834.1761,-1733.5825,-17.554888,-2861.724,3187.7134,-2.7181726,2227.0967,66153ce7364c1e04cb739c4d81250c27,global,DonorReference,Extracted
41a092610f29170e5bc361be6e0d1dec,5968,MAP/LakeWaterColor,LakeWaterColor,Water,MajorWater,2199.0503,-2.429,-1832.094,2199.0503,-2.429,-1832.094,2199.0503,-2.429,-1832.094,98bae769cdfd5484f9f976ca5697b099,cell_4_-4,DonorReference,ExtractedBoundsNeedsReview
52287202f0ac2d9c79937d5f26a4a0e4,3906,STORE/VideoPoker,VideoPoker,ColliderOnly,TownService,-1374.197,5.761583,141.97205,-1374.197,5.761583,141.97205,-1374.197,5.761583,141.97205,,cell_-3_0,DonorReference,Extracted
5922254ed391973d33d7babd6be0b89f,7823,PERAJARVI/CHURCH/FlagPole,FlagPole,BuildingExterior,Church,-1220.8839,6.771,121.17737,-1220.8839,6.771,121.17737,-1220.8839,6.771,121.17737,95df965a97ac4314c94592df23deea94,cell_-3_0,DonorReference,ExtractedBoundsNeedsReview
62baf5836244e43fde82119cde1bb400,25653,MAP/MESH/TERRAIN_OBJ/Landfill,Landfill,Landmark,UniqueStructure,2007.2153,-2.7191553,-1834.1761,2007.2153,-2.7191553,-1834.1761,2007.2153,-2.7191553,-1834.1761,66d43b09152d4884c853d2a846b27c11,cell_3_-4,DonorReference,ExtractedBoundsNeedsReview
66481b9e0a97c74cd440dc9268ca28fe,666,INSPECTION/LOD/office_lamp 11,office_lamp 11,BuildingExterior,VehicleInspection,-1358.9203,7.4210815,221.49084,-1358.9203,7.4210815,221.49084,-1358.9203,7.4210815,221.49084,95df965a97ac4314c94592df23deea94,cell_-3_0,DonorReference,ExtractedBoundsNeedsReview
75fab5283acabfebface24ccb24538b7,19117,REPAIRSHOP/JunkCar1,JunkCar1,BuildingExterior,RepairWorkshop,-240.04503,-2.2459998,-1686.45,-240.84068,-2.8125896,-1687.4458,-239.24937,-1.6794101,-1685.4542,18d003709fa94ff4ab752446500a6908,cell_-1_-4,DonorReference,Extracted
8cf61deda44c8b30119257dbed2d16a8,10488,REPAIRSHOP/JunkCar3,JunkCar3,BuildingExterior,RepairWorkshop,-251.73302,0.77900016,225.10596,-254.26741,0.7613141,223.21436,-249.18874,1.8409735,226.97754,23baa39f4d42b0d4d8af6924fcce3a26,cell_-1_0,DonorReference,Extracted
947c8f07860535709b0fa97dc682e070,34886,MAP/MESH/BRIDGE_dirt/NoRain,NoRain,ColliderOnly,Bridge,1606.0381,-1.1989537,-291.53296,1606.0381,-1.1989537,-291.53296,1606.0381,-1.1989537,-291.53296,,cell_3_-1,DonorReference,Extracted
a0188efa5449fa8ee4576ef04e3eeb85,7552,REPAIRSHOP/SatsumaSpawns/Spawn,Spawn,SpawnMarker,RepairWorkshop,-635.2699,14.770096,-1705.8251,-635.2699,14.770096,-1705.8251,-635.2699,14.770096,-1705.8251,,cell_-2_-4,DonorReference,Extracted
