SourceObjectId,StableId,MeshGuid,SubMeshIndices
42,1fb540178fd637dc22336e6ade9621af,a7cb070b49a4b7f41abf584480006353,71
45,d47341220f984499ad82c3735852e763,adda240458961f94fb196c3a1ab84139,12
48,f3c19f44d2c287bd45d6780a7d73eae8,deb86cb7823284643bb94aab291cb5ef,45
110,ada543147bba986b6e15c5c8fa7e3f51,aaed5451b51c5884aae1b7d0b759a718,56
121,ca09fde18977c66000463a59d68e7179,043fd1f61638693418bfd34969693b6d,52
157,e63741cd0cc32cc3b4d3dd3792c1cdad,66d43b09152d4884c853d2a846b27c11,472
185,85afed823d9eed4098136915996b4d80,d20ce86ce58c597468f6618f51f7e1c9,0
198,0e69a9ef669a2da8af16bf5844a7b3a2,66d43b09152d4884c853d2a846b27c11,479
203,ebcef66480fc1df167cbdb9f62ac64ef,66d43b09152d4884c853d2a846b27c11,293
230,7d01c473dc774d3446b5f91555fc3447,adda240458961f94fb196c3a1ab84139,79
248,38d09e73cfa8f13667f6b32ca30cf127,aaed5451b51c5884aae1b7d0b759a718,34
278,be812f66c6aa9389236bbbca4d0ae832,7353eae76a976394685746ea0bf74bcc,27
334,187a906ad1e432185f07d8802a877827,043fd1f61638693418bfd34969693b6d,66
352,9018123a1da63752485cc8771cff5371,a7cb070b49a4b7f41abf584480006353,129
359,e3039973c148854aab0fbd9707f741d5,043fd1f61638693418bfd34969693b6d,62
389,34d6bfd492bcb472730dce66b8d97cb2,ca253820b91d15442b2e5f464a584cfd,79
392,7682a9acdbbd27484cd698d24833cc64,66d43b09152d4884c853d2a846b27c11,365
412,920ef70ad387e0be97c03a50c4b74bac,a7cb070b49a4b7f41abf584480006353,24
441,93944e610ede3389500db992efbe2871,66d43b09152d4884c853d2a846b27c11,90
501,d34af0ca10a56408e81acb009b8567fc,d20ce86ce58c597468f6618f51f7e1c9,23
556,30b29b17b176bfc15d50461317e4d153,66d43b09152d4884c853d2a846b27c11,220
611,b9e1e6ccb04b0a2bc0658094e77bcfea,da5556c75d8da57479bba403afaac84e,100
616,cb64bd11a6bc3b3268129300c65ee72e,66d43b09152d4884c853d2a846b27c11,13
631,7ea414bfc2f7638d251412fbdde6e20b,adda240458961f94fb196c3a1ab84139,145;146;147
635,860e6c7ce2a336e0b0373daf892d4c5e,6cc499f220f49dc44b33548b003b1457,68
649,e8175656968c504ab381ed9edef5045e,043fd1f61638693418bfd34969693b6d,127
663,63a674e972bf205d48a895d31ea17afa,66d43b09152d4884c853d2a846b27c11,29
666,66481b9e0a97c74cd440dc9268ca28fe,95df965a97ac4314c94592df23deea94,3
677,2a2d937e2b55ee8edf6a8791b8bdeb86,95df965a97ac4314c94592df23deea94,190
683,304c1f2c0308b795e18ac09625c6ef11,deb86cb7823284643bb94aab291cb5ef,1
686,fbd6c2d4cfdd29c452d26ee10cfdbaa0,95df965a97ac4314c94592df23deea94,195
700,7850baee6a3c2e6ad89a8bf99ddef9dd,ca253820b91d15442b2e5f464a584cfd,34
742,77d5eb38cf784a4d7c5562c7924d6615,66d43b09152d4884c853d2a846b27c11,175
825,9cf0e161aea50dd26013755cd1b746bc,95df965a97ac4314c94592df23deea94,20
864,e1b8b8c5c78aa10eb1de9decad45099a,66d43b09152d4884c853d2a846b27c11,427
879,35d9852b3d2b6d97da1984e12588c263,a7cb070b49a4b7f41abf584480006353,11
904,b0651cf48bfe7aab01faf087e8addd58,95df965a97ac4314c94592df23deea94,0
905,b049dbfb140a27c250965ecfaf4b5b47,a7cb070b49a4b7f41abf584480006353,39
914,3d6b373b75fdaf5628ffdd9293b44f2d,66d43b09152d4884c853d2a846b27c11,251
951,58b37f0010031aabd45f29033a39b107,ca253820b91d15442b2e5f464a584cfd,107;108
971,7f4da880d27f2ceb081fe1562f22efc7,98bae769cdfd5484f9f976ca5697b099,23
1012,5d6fac10fc55769300e16a021e67ba35,6cc499f220f49dc44b33548b003b1457,28
1049,eb914f8c822b092ae3cac4129e8aede2,adda240458961f94fb196c3a1ab84139,102
1064,fb0f962be1b325cc19296c66751818c0,6cc499f220f49dc44b33548b003b1457,80
1085,146d0813d8788029ce98c61b9f15f7a9,adda240458961f94fb196c3a1ab84139,17
1087,0e7aa3deeea3fdbc862122b751c368e6,95df965a97ac4314c94592df23deea94,116
1098,dc4aae4ae5ce4f211fc74d278d835a2e,95df965a97ac4314c94592df23deea94,225
1102,b67138d705781d2e60eb4e03903f70cc,7353eae76a976394685746ea0bf74bcc,23
1148,d27c4b62fe36d00a9cfd1484b264a06b,043fd1f61638693418bfd34969693b6d,14
1170,fe58204d660f1ee4ea07a8ba3dd26a6a,a7cb070b49a4b7f41abf584480006353,72
1175,887ba8852165ced9965e5d362161e56e,adda240458961f94fb196c3a1ab84139,90
1208,ce1de239ca3e7f980f056f22869f9fd0,95df965a97ac4314c94592df23deea94,254
1224,09048fc248fca7a84319ea3531a34285,da5556c75d8da57479bba403afaac84e,27
1241,65ddfb0f01d5da8ee4ceb661f80f17e3,66d43b09152d4884c853d2a846b27c11,288
1320,9fcb6ad9f3d641e1a5210dcb60720291,95df965a97ac4314c94592df23deea94,164
1324,cb01ace10f605a79de39069b7e159fbf,deb86cb7823284643bb94aab291cb5ef,27;28
1342,035ec05fd2d51de9ed490d6afeaa6ea6,66d43b09152d4884c853d2a846b27c11,444
1349,3ad01ed1afe627f280a14446e6134c9a,d20ce86ce58c597468f6618f51f7e1c9,31
1394,8946ab55e770546f2c76e72945c54f24,deb86cb7823284643bb94aab291cb5ef,7
1411,9cd075933339887a924757b26ef39ee7,aaed5451b51c5884aae1b7d0b759a718,8;9
1425,fa3f82764e1c6530fea47a5970071166,95df965a97ac4314c94592df23deea94,13
1432,7613f7bbfb1071159e1f5ffc3a130f0b,043fd1f61638693418bfd34969693b6d,30
1440,4918567c8a87828c755e3277e5a66d9f,d20ce86ce58c597468f6618f51f7e1c9,41
1454,fd240dca98c3ae1ca2265753532b6515,adda240458961f94fb196c3a1ab84139,126
1502,f260bfb1b6d18179a1773f3eb3ff99b0,ca253820b91d15442b2e5f464a584cfd,95
1591,d09b167d9e4a30ee62e2822f48a4a610,a7cb070b49a4b7f41abf584480006353,49
1616,b3326cd1a123a496fe44b26d64dda2e6,6cc499f220f49dc44b33548b003b1457,70
1619,6298e8d8dda4731abbc922511fdae5a4,ca253820b91d15442b2e5f464a584cfd,55
1633,06e8bd27c88c5d185292f778650d31bd,66d43b09152d4884c853d2a846b27c11,211
1661,b0e9d41b402e86f6d38dd6b213e3630c,66d43b09152d4884c853d2a846b27c11,93
1683,1d629950d5db89ecc444bebde8e08a43,da5556c75d8da57479bba403afaac84e,30
