RecordId,ScenePath,HierarchyPath,Category,GameObjectName,RendererType,MeshAssetName,AssetGuid,LocalFileId,InstanceId,VertexCount,TriangleCount,SubMeshCount,MaterialNames,LocalPosition,LocalRotation,LocalScale,WorldMatrix,WorldBounds,HasMeshCollider,MeshColliderEnabled,ActiveSelf,ActiveInHierarchy,NegativeWorldDeterminant,Layer,Tag,ProvenanceStableId,ProvenanceHierarchyPath,SemanticCategory,SharedMeshInstanceCount,ClassificationReason
"14c2b59a45b985dd","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-1_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/BuildingExterior · burnt house base · CABIN / BurntHouse [24791]","Building","BuildingExterior · burnt house base · CABIN / BurntHouse [24791]","MeshRenderer","29e40e12d8e15bc62b6340dc7c5a5498","4a8a3915dd07b274cb1d3a7873483022","4300000","918034","144","92","1","M06B2_d00cf83d02749f44f84fa4d068cc411e_rock_sokkeli","-10.4000092;-3.3579998;-18.375","-0.6921335;0.144745782;0.144745812;0.692133367","1;0.99999994;0.99999994","0.9161946;-0.4007336;-7.45058E-08;-10.4000092;0;-2.38418565E-07;0.99999994;-3.3579998;-0.4007336;-0.9161946;-2.38418565E-07;-18.375;0;0;0;1","-10.4546185;-2.32918835;-18.4032326;13.1795664;0.700998366;13.2541771","False","False","True","True","False","Default","Untagged","29e40e12d8e15bc62b6340dc7c5a5498","CABIN/BurntHouse/burnt_house_base","BuildingExterior","1","hierarchy/semantic building evidence"
"adba73122e6c9b21","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-1_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/BuildingExterior · burnt house stack · CABIN / BurntHouse [22117]","Building","BuildingExterior · burnt house stack · CABIN / BurntHouse [22117]","MeshRenderer","7d39848f91ff6b7b08130c55efba0ca3","fc5bd852afe853849a9d9fc8f332f13f","4300000","918084","190","124","1","M06B2_5daf8ae88eb33924f8a342685a5044a2_wall_brick4","-10.4000092;-3.3579998;-18.375","-0.6921335;0.144745782;0.144745812;0.692133367","1;0.99999994;0.99999994","0.9161946;-0.4007336;-7.45058E-08;-10.4000092;0;-2.38418565E-07;0.99999994;-3.3579998;-0.4007336;-0.9161946;-2.38418565E-07;-18.375;0;0;0;1","-10.7501593;0.248739958;-18.2218742;2.481241;5.82759666;2.24433017","False","False","True","True","False","Default","Untagged","7d39848f91ff6b7b08130c55efba0ca3","CABIN/BurntHouse/burnt_house_stack","BuildingExterior","1","hierarchy/semantic building evidence"
"7eae5e240453dede","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-1_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/BuildingExterior · burtn house rumble · CABIN / BurntHouse [23352]","Building","BuildingExterior · burtn house rumble · CABIN / BurntHouse [23352]","MeshRenderer","8d1c1f6f2e77d1091b0855aa96c7429c","832c02bacf6f86f4db8065a0a8de52dc","4300000","918136","194","287","1","M06B2_795dd9c017867d243937395efa38b1ef_wood_charred","-10.4000092;-3.3579998;-18.375","-0.692133546;0.144745767;0.144745827;0.6921333","1;1;1","0.9161946;-0.4007336;-1.49011612E-07;-10.4000092;1.49011612E-08;-3.57627869E-07;1;-3.3579998;-0.40073362;-0.9161947;-3.57627869E-07;-18.375;0;0;0;1","-11.5647135;-2.36853719;-17.45872;13.3835583;1.17679787;15.9471359","False","False","True","True","False","Default","Untagged","8d1c1f6f2e77d1091b0855aa96c7429c","CABIN/BurntHouse/burtn_house_rumble","BuildingExterior","1","hierarchy/semantic building evidence"
"51edd074bcb81dce","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-1_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/BuildingExterior · water well handle · CABIN / Anim [26302]","Water","BuildingExterior · water well handle · CABIN / Anim [26302]","MeshRenderer","32f03b3d5f59c9b479064c2649509ca6","2611a3cc7c7cc4148bfa6f00c0c55eb9","4300000","918072","51","33","1","M06B2_d904cd5a6365e0f4b83cbc8447ce71e2_ATLAS_RUST","-10.6784363;-2.55314255;-28.3795166","-0.6851741;0.311619;0.423794448;0.5038138","1;1.00000024;1","0.446583748;-0.854053736;-0.266750067;-10.6784363;4.172325E-07;-0.298130572;0.9545252;-2.55314255;-0.8947419;-0.426275641;-0.133139968;-28.3795166;0;0;0;1","-11.4675179;-1.58037388;-28.77336;0.764784038;0.2988773;0.457751065","False","False","True","True","False","Default","Untagged","de997ab9ce8735a24d3e031e2dd28c36","CABIN/LOD/WaterWell/HandlePivot/Anim/water_well_handle","BuildingExterior","5","hierarchy/semantic water evidence"
"9f71e76f4e689e4e","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-1_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/BuildingExterior · water well · CABIN / WaterWell [631]","Water","BuildingExterior · water well · CABIN / WaterWell [631]","MeshRenderer","7ea414bfc2f7638d251412fbdde6e20b","094bee0d81f69aa4895ce68d06085b00","4300000","918124","300","270","3","M06B2_e3537d9b181bca840975d2e1fd7925c0_concrete|M06B2_a7c4ab4f5f6e2444a818eb3df08ba11b_wood1|M06B2_d904cd5a6365e0f4b83cbc8447ce71e2_ATLAS_RUST","-10.9900055;-2.657;-28.5349731","-0.60137;0.371959627;0.3719599;0.601370156","1.00000012;1.00000012;1.00000012","0.4465838;-0.894742;-2.08616285E-07;-10.9900055;4.470349E-07;0;1.00000012;-2.657;-0.894742;-0.446583867;3.57627925E-07;-28.5349731;0;0;0;1","-10.9900341;-2.26088071;-28.5349464;1.47489572;1.78959882;1.47490227","False","False","True","True","False","Default","Untagged","7ea414bfc2f7638d251412fbdde6e20b","CABIN/LOD/WaterWell/water_well","BuildingExterior","1","hierarchy/semantic water evidence"
"7e6b9b4f188d6a6f","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-2_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/Water · LakeWaterUnder1 · MAP [20115]","Water","Water · LakeWaterUnder1 · MAP [20115]","MeshRenderer","e4c7a04a7625b2fd685f37fb5cadb4ff","b437adfee81ed9541ac34d89f321c7ec","4300000","918178","121","200","1","M06B2_41ab6cea070209e498471b8ad3c5b378_water_under","-25.8679047;-8.218824;-735.0829","0.993007541;-1.47585922E-07;-0.118051052;-8.940695E-08","305.675781;110.000046;228.340317","297.155945;-3.45638873E-05;-53.5346565;-25.8679047;-8.314341E-05;-110.000046;4.85015153E-05;-8.218824;-71.6660461;-1.569901E-05;-221.976;-735.0829;0;0;0;1","-25.8678913;-8.218825;-735.0828;3506.90625;0.00131739;2936.42041","False","False","True","True","False","Default","Untagged","e4c7a04a7625b2fd685f37fb5cadb4ff","MAP/LakeWaterUnder1","Water","1","hierarchy/semantic water evidence"
"d3b1c11b456aac89","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-3_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/InteractivePropCandidate · RallyBanner · RALLY / Banners [35078]","Prop","InteractivePropCandidate · RallyBanner · RALLY / Banners [35078]","MeshRenderer","bb239ab0e297aed46b318c275fbc4b50","8af6c902db5a5c04bae35e24861c326f","4300000","918222","168","132","1","M06B2_bb3e90d2fd6671b43baec5392c41df2c_ATLAS_BUILDINGS","-471.68;3.131;-1433.235","-0.7013647;0.0899315551;0.08993155;0.7013645","1;1;1.00000012","0.9676493;-0.252299249;-1.4901163E-08;-471.68;-4.47034836E-08;-2.38418579E-07;1.00000012;3.131;-0.252299249;-0.9676492;-2.384186E-07;-1433.235;0;0;0;1","-471.68;3.7279973;-1433.235;2.05088782;1.45127463;7.74857855","False","False","False","False","False","Default","Untagged","a178fcaef0d7559eb6a4e2a42abf7ef5","RALLY/Scenery/Banners/RallyBanner","InteractivePropCandidate","16","semantic prop evidence"
"cd233046f0db7bc6","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-3_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/InteractivePropCandidate · rally sign04 · RALLY / FinishArea [35145]","Prop","InteractivePropCandidate · rally sign04 · RALLY / FinishArea [35145]","MeshRenderer","942a0e466dce0eb48a2d387321dc14cb","10c029bf187d7d24ea72a7d1e4e7cb78","4300000","918234","48","24","1","M06B2_01ffbe2f081493f45bec089b2a5a82d7_rally_signs","-465.435;3.237;-1425.129","-0.621970832;0.3205102;0.316584855;0.64046824","1;1.00000012;1","0.594094455;-0.8042212;0.0167401135;-465.435;0.006829083;0.0258526839;0.9996425;3.237;-0.80436635;-0.5937678;0.020851016;-1425.129;0;0;0;1","-465.424866;4.02336931;-1425.10852;0.604331553;1.72205579;0.4717355","False","False","False","False","False","Default","Untagged","4df29d3d0322bf9bf46ba8d85ab8516d","RALLY/Saturday/FinishArea/rally_sign04","InteractivePropCandidate","4","semantic prop evidence"
"4f8ffe25f8a5f5de","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-3_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/InteractivePropCandidate · rally sign06 · RALLY / FinishArea [20614]","Prop","InteractivePropCandidate · rally sign06 · RALLY / FinishArea [20614]","MeshRenderer","942a0e466dce0eb48a2d387321dc14cb","10c029bf187d7d24ea72a7d1e4e7cb78","4300000","918210","48","24","1","M06B2_01ffbe2f081493f45bec089b2a5a82d7_rally_signs","-469.382019;3.414;-1428.325","-0.6478355;0.2913903;0.3005053;0.6364727","1;1.00000012;1","0.6495765;-0.760072947;-0.01843208;-469.382019;0.004980892;-0.0199885387;0.9997879;3.414;-0.760279953;-0.6495306;-0.009198189;-1428.325;0;0;0;1","-469.399841;4.20049334;-1428.32825;0.578274369;1.71818042;0.489215","False","False","False","False","False","Default","Untagged","27d29bd359b373d9a2acc88b7d325765","RALLY/Saturday/FinishArea/rally_sign06","InteractivePropCandidate","4","semantic prop evidence"
"e366199e30e016e9","Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Streaming/Scenes/Cells/World_Cell_-1_-3_Legacy.unity","TEMPORARY_DIRECT_IMPORT_ENTITIES/InteractivePropCandidate · rallybanner2 · RALLY / RallyBanner [18669]","Prop","InteractivePropCandidate · rallybanner2 · RALLY / RallyBanner [18669]","MeshRenderer","da341b74d6f577145b22e0cbf4152f12","035508460faefa1419621d395535820f","4300000","918250","24","12","1","M06B2_63504e94bf046804fb2d865ec0a9d1a2_rally_banners","-471.68;3.131;-1433.235","-0.7013647;0.0899315551;0.08993155;0.7013645","1;1;1.00000012","0.9676493;-0.252299249;-1.4901163E-08;-471.68;-4.47034836E-08;-2.38418579E-07;1.00000012;3.131;-0.252299249;-0.9676492;-2.384186E-07;-1433.235;0;0;0;1","-471.679321;3.95977163;-1433.23242;1.86879742;0.834510565;7.16744232","False","False","False","False","False","Default","Untagged","dc5725c3bd52c91a9cca2b5df9233cab","RALLY/Scenery/Banners/RallyBanner/rallybanner2","InteractivePropCandidate","4","semantic prop evidence"
