"RosterId","FeatureId","Category","EvidenceExamples","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"ITEMCAT-001","P1.ITEM.001","Ручные инструменты и spanner/tool sets","Spanner set; screwdrivers; ratchet-like tools","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B item tool identity/variants plus held-tool compatibility boundary; spanner sizes 8-17 are represented.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Wrench variants and held-tool compatibility exist; concrete screwdriver/ratchet definitions and full donor use flows remain missing."
"ITEMCAT-002","P1.ITEM.002","Домкраты, подъёмник и опоры","Car jack; floor jack; motor hoist","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: State fields exist, but jack/floor-jack/hoist lifting and support mechanics are not implemented."
"ITEMCAT-003","P1.ITEM.003","Топор, кувалда, лом и рабочие инструменты","Axe; sledgehammer; digging bar","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Generic held-tool identity exists, but axe/sledgehammer/digging-bar world outcomes are not implemented."
"ITEMCAT-004","P1.ITEM.004","Канистры топлива и двухтактной смеси","Fuel cans; two-stroke can","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Liquid state/transfer exists; orientation-driven pour, spill, mass response and explosion behavior remain missing."
"ITEMCAT-005","P1.ITEM.005","Масло, coolant и brake fluid containers","Motor oil; coolant; brake fluid","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Capacities and liquid state exist; vehicle fill targets, orientation pour, spill and mass response remain missing."
"ITEMCAT-006","P1.ITEM.006","Вода, ведро, ковш и sauna containers","Bucket; water bucket; dipper","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Bucket/dipper liquid state exists; water-source and sauna target integration remain missing."
"ITEMCAT-007","P1.ITEM.007","Пиво, booze, cigarettes и coffee","Beer; booze; cigarettes; coffee cup/pan","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Container/consume state exists; exact milk/beer/booze/cigarette effects, coffee process, UI and audio comparison remain missing."
"ITEMCAT-008","P1.ITEM.008","Еда и готовые упаковки","Sausages; pizza; macaroni; chips; milk","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B runtime extended by the outside-milestone food/fridge fix: data-driven whole consumption, game-time freshness, cooling and loose-sausage cooking are live; complete donor comparison remains open.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; explicit canonical-pose and sausage count/freshness/cook-state round-trips pass; remaining row-specific stream proof pending","09B","Catalog build passed; 86 definitions/43 placements; Items 48/48, Home 9/9, Needs 15/15, Save Integration 37/37 and production food/fridge PlayMode 2/2 passed","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. Burned/spoiled adverse coefficients, complex mesh-collider fidelity and manual donor/Wwise acceptance remain pending; no Verified claim."
"ITEMCAT-009","P1.ITEM.009","Рыба, мясо и perishables","Pike; moose meat; fish trap","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Perishable state fields exist; time-driven spoil, grilling, fish-trap spawning and full donor comparison remain missing."
"ITEMCAT-010","P1.ITEM.010","Kilju ingredients и juice containers","Sugar; yeast; concentrate; juice containers","Yes","Frozen04A1 ITEMS/GameObject prefab evidence","Acquire, physical state, capability use, quantity/container state, recovery and persistence","Reimplemented","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; 86 definitions/43 placements and 46 presentation bindings recorded; representative use/save/stream/manual donor comparison pending","Project-owned FeatureId/DefinitionId/StableEntityId; donor names are evidence only. 09B audit: Ingredient/container state exists; exact kilju formula, action order and boundary behavior remain unresolved."
