FeatureId,DefinitionId,VariantIndex,ReplacementKey,SourceHierarchyRoot,SourceRootStableId,GeometryCount,PrefabPath,Classification,Status
"P1.COMMS.005.envelope","item.mail-order-envelope",-1,"legacy.item.mail-order-envelope","ITEMS/parts magazine(itemx)/EnvelopeSpawn/envelope(xxxxx)","11d0a8db0db6e13e6e9936e7a54b2065",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order-envelope.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.01","item.mail-order.marker-light-left",-1,"legacy.item.mail-order.marker-light-left","STORE/Boxes/marker lights(Clone)","ef660e0fafa8bb919fb7c27cb7a8d346",2,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_marker-light-left.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.02","item.mail-order.twin-carburators",-1,"legacy.item.mail-order.twin-carburators","STORE/Boxes/twin carburators(Clone)","7332162bdb64f645525830ff216580a3",7,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_twin-carburators.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.03","item.mail-order.steel-headers",-1,"legacy.item.mail-order.steel-headers","STORE/Boxes/steel headers(Clone)","03d855ab4df1a168334ea38be6f9226f",5,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_steel-headers.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.04","item.mail-order.wheel-cover-plush",-1,"legacy.item.mail-order.wheel-cover-plush","STORE/Boxes/wheel cover plush(Clone)","dc338e5fbe6ccc4eff06dd360e40c830",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheel-cover-plush.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.05","item.mail-order.wheelset-slot",-1,"legacy.item.mail-order.wheelset-slot","STORE/Boxes/wheelset slot(Clone)","eee9d151e9783191e8a6a29145e5664c",20,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-slot.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.06","item.mail-order.window-grille",-1,"legacy.item.mail-order.window-grille","STORE/Boxes/window grille(Clone)","d14ff3c9324f337142246e2a665e47f2",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_window-grille.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.07","item.mail-order.racing-flywheel",-1,"legacy.item.mail-order.racing-flywheel","STORE/Boxes/racing flywheel(Clone)","7e9a4d82c45ed09032bc3b643933f9ef",6,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_racing-flywheel.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.08","item.mail-order.seat-cover-leopard",-1,"legacy.item.mail-order.seat-cover-leopard","STORE/Boxes/seat cover leopard(Clone)","d3d9cd51af5381533fac2336d38d6977",1,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_seat-cover-leopard.prefab",TemporaryDirectImport,"GeneratedValidated"
"P1.ITEM.017.catalog.09","item.mail-order.wheelset-steelwide",-1,"legacy.item.mail-order.wheelset-steelwide","STORE/Boxes/wheelset steelwide(Clone)","59c938bb734a6fd4d0c1742e27a6fd0c",20,"Assets/Game/LegacyImport/RuntimeBaseline/Generated/Items/Prefabs/LegacyItemVisual_item_mail-order_wheelset-steelwide.prefab",TemporaryDirectImport,"GeneratedValidated"
