"RosterId","FeatureId","Content","Category","Required","DonorEvidence","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"MEDIA-001","P1.MEDIA.101","Kaappis Fishgame","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-002","P1.MEDIA.102","Grilli","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-003","P1.MEDIA.103","Rally95","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-004","P1.MEDIA.104","Wildvest","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-005","P1.MEDIA.105","Procyon Propilkki","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-006","P1.MEDIA.106","Rami Filosofiapeli","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-007","P1.MEDIA.107","Rami JFK","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-008","P1.MEDIA.108","Rami Joulupukki","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-009","P1.MEDIA.109","Rami Massacre","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-010","P1.MEDIA.110","Rami Ojasta","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-011","P1.MEDIA.111","Rami PasiInvaders","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-012","P1.MEDIA.112","Rami Pieno","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-013","P1.MEDIA.113","Rami Rapula","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-014","P1.MEDIA.114","Rami RunTheGauntlet","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-015","P1.MEDIA.115","Rami SimppaJokke","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-016","P1.MEDIA.116","Rami Sormileikki","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-017","P1.MEDIA.117","Rami WorldsMan","ComputerTitle","Yes","Frozen04A1 WOP named PC title","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachable start/exit + full rules/input/audio/score/outcome/save where persistent","Name does not prove playable loop"
"MEDIA-018","P1.MEDIA.118","Lottery system","BroadcastOrActivity","Yes","Frozen WOP lottery evidence","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-019","P1.MEDIA.119","Basketball activity","BroadcastOrActivity","Yes","WOP basketball/hoop evidence","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-020","P1.MEDIA.120","Teletext pages 100–502","BroadcastOrActivity","Yes","Frozen WOP Teletext and page nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-021","P1.MEDIA.121","Rally TV broadcast","BroadcastOrActivity","Yes","Frozen WOP RallyTV","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-022","P1.MEDIA.122","Film: Topless Gun","BroadcastOrActivity","Yes","Frozen GAME film node","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-023","P1.MEDIA.123","Film: Marjatta","BroadcastOrActivity","Yes","Frozen GAME film node","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-024","P1.MEDIA.124","Radio channel 01","BroadcastOrActivity","Yes","Frozen radio channel node","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-025","P1.MEDIA.125","Radio channel 02","BroadcastOrActivity","Yes","Frozen radio channel node","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-026","P1.MEDIA.126","Radio channel 03","BroadcastOrActivity","Yes","Frozen radio channel node","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-027","P1.MEDIA.127","Radio channel 04","BroadcastOrActivity","Yes","Frozen radio channel node","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Reachability + full loop/schedule/audio/UI/save comparison","Exact behavior pending"
"MEDIA-028","P1.MEDIA.128","Radio program 01","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-029","P1.MEDIA.129","Radio program 02","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-030","P1.MEDIA.130","Radio program 03","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-031","P1.MEDIA.131","Radio program 04","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-032","P1.MEDIA.132","Radio program 05","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-033","P1.MEDIA.133","Radio program 06","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-034","P1.MEDIA.134","Radio program 07","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-035","P1.MEDIA.135","Radio program 08","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-036","P1.MEDIA.136","Radio program 09","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-037","P1.MEDIA.137","Radio program 10","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-038","P1.MEDIA.138","Radio program 11","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-039","P1.MEDIA.139","Radio program 12","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"
"MEDIA-040","P1.MEDIA.140","Radio program 13","RadioProgram","Yes","Frozen GAME named program nodes","BehavioralReference","Nothing","EvidenceCaptured","None","13C","Identity + schedule + broadcast/audio comparison","Program metadata extraction pending"

