"record_id","record_type","category","subcategory","priority","status","capture_method","unit","name"
"35c29d136fad665e3bf3045c95d6e8d8","Measurement","WorldLandmarks","coordinates","P0","Validated","AssetMetadata","MeterPerUnityUnit","Donor world unit scale"
"d9cca0c1e9333bb80820b86eaaa7afbb","Measurement","WorldLandmarks","garage","P0","Validated","SceneTransform","Meter","Primary garage anchor in donor world"
"1598e1ee9fa5f87dd1635cf16f14eb7e","Measurement","WorldLandmarks","coordinates","P0","Validated","DerivedCalculation","Meter","Primary garage anchor in remake world"
"69a80125e3f6185125b3eb655fb1ee63","Measurement","WorldLandmarks","landmark","P1","NeedsReview","SceneTransform","Meter","Repair area sample"
"110caa163a89fad5cc4bbb2a77192d7e","Measurement","WorldLandmarks","landmark","P1","NeedsReview","SceneTransform","Meter","Town pier sample"
"2d07e3525c75a9ae154ec1821ae19a3e","Measurement","WorldLandmarks","landmark","P1","NeedsReview","SceneTransform","Meter","Inspection sample"
"423e250c94376ba4e21062edb9fc8281","Measurement","WorldLandmarks","landmark","P1","NeedsReview","SceneTransform","Meter","Highway bridge sample"
"f677655e1c5225e139e1e989490378fe","Measurement","WorldLandmarks","road-route","P1","Validated","SceneTransform","Meter","Retained DirtRoad route samples 1655-1685"
"e551d6a3081a0a4ba83de50571575663","Measurement","WorldLandmarks","road-route","P1","Validated","DerivedCalculation","Meter","Retained DirtRoad polyline length"
"8c1221cf6be3904361b00d4175ef6ff0","Measurement","WorldLandmarks","road-route","P1","Validated","DerivedCalculation","Meter","Garage to nearest retained route sample"
"06391075272cdc5c1d792547d66f2d06","Measurement","WorldLandmarks","garage","P0","Validated","AssetMetadata","Meter","Garage shed roof envelope W/H/D"
"d7f49324f52e3d4346ba2749e9b470bb","Measurement","WorldLandmarks","garage","P0","Validated","AssetMetadata","Meter","Garage shed roof local pivot"
"932da7530b44aafe3dcf2fbe1fbfa555","Measurement","PlayerInteraction","camera","P0","Validated","SceneTransform","Meter","Standing FPS camera anchor height"
"dd6e95a31847f0b17c28555651ffaa49","Measurement","PlayerInteraction","controller","P1","Validated","SerializedDonorData","Meter","Legacy CharacterController height/radius/step"
