run_id,fixture_id,status,trial_count,execution_mode,fixed_timestep_s,substeps,unity_version,hardware,route,started_utc,evidence_path,notes
m06a-pure-start-idle,start-idle,Passed,5,EditModePure,0.02,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,FixedCalibrationBackend,2026-07-16T08:47:18.8516116Z,generated in exporter,Deterministic project baseline; not donor/PhysX parity.
m06a-static-geometry-mass,static-geometry-mass,Inconclusive,1,EditModeStatic,0.02,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Profile/config snapshot,2026-07-16T08:47:18.8761217Z,generated in exporter,Explicit project/reference snapshot; unavailable donor values remain Unknown.
m06a-static-powertrain-config,powertrain-config,Passed,1,EditModeStatic,0.02,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Profile/config/reference snapshot,2026-07-16T08:47:18.8761217Z,generated in exporter,Central M06 engine/clutch/gearbox config snapshot.
m06a-static-surface-comparison,surface-comparison,Passed,1,EditModeStatic,0.02,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Profile/config/reference snapshot,2026-07-16T08:47:18.8761217Z,generated in exporter,Project-owned surface coefficient snapshot; dynamic evidence is a separate PhysX run.
m06a-static-garage-clearance,garage-clearance,Passed,1,EditModeStatic,0.02,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Profile/config/reference snapshot,2026-07-16T08:47:18.8761217Z,generated in exporter,Project-authored opening/envelope/threshold measurements.
m06a-reference-reference-only,reference-only,Inconclusive,1,EditModeStatic,0.02,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Profile/config/reference snapshot,2026-07-16T08:47:18.8761217Z,generated in exporter,Reference availability and explicit Unknown records.
m06a-physx-start-idle,start-idle,Passed,3,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-flat,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-acceleration,acceleration,Passed,3,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-flat,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-braking,braking,Passed,3,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-flat,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-coastdown,coastdown,Passed,3,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-flat,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-steering-slalom,steering-slalom,Inconclusive,1,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-steering-step,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Execution passed; one or more declared reference targets remain Unknown.
m06a-physx-suspension-bump,suspension-bump,Passed,1,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-80mm-bump,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-surface-comparison,surface-comparison,Passed,1,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-Paved-Gravel-Dirt-Grass-primitives,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-hill-start,hill-start,Passed,1,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,VehicleSimulationPrototype/runtime-paved-slope-6deg,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-garage-clearance,garage-clearance,Passed,1,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Bootstrap+VehicleSimulationPrototype/production-cell_0_-3-garage-driveway,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
m06a-physx-world-transition,world-transition,Passed,1,PlayModePhysX,0.01999999,4,6000.3.11f1,Windows 10  (10.0.19045) 64bit; AMD Ryzen 9 5950X 16-Core Processor ; Null Device,Bootstrap+VehicleSimulationPrototype/production-cell_0_-3_to_0_-2/z_-1024,2026-07-16T08:46:49.1140012Z,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Fresh passing PhysX evidence.
