target_id,fixture_id,metric_id,classification,status,mode,target_value,minimum_value,maximum_value,unit,absolute_tolerance,relative_tolerance_01,confidence_01,source,notes
static-geometry-mass:mass.proxy_total_kg,static-geometry-mass,mass.proxy_total_kg,RemakeDesignTarget,Provisional,ValueWithTolerance,650,650,650,kg,0.01,0,0.65,M06 config,Proxy mass; not donor assembled mass.
static-geometry-mass:mass.logical_parts_sum_kg,static-geometry-mass,mass.logical_parts_sum_kg,RemakeDesignTarget,Provisional,ValueWithTolerance,871.7,871.7,871.7,kg,0.01,0,0.65,M06 logical AssemblyGraph,Excluded from physics calibration.
static-geometry-mass:mass.center_of_mass_x_m,static-geometry-mass,mass.center_of_mass_x_m,RemakeDesignTarget,Provisional,ValueWithTolerance,0,0,0,m,0.001,0,0.65,M06A explicit composition config,Explicit proxy CoM; donor assembled CoM is Unknown.
static-geometry-mass:mass.center_of_mass_y_m,static-geometry-mass,mass.center_of_mass_y_m,RemakeDesignTarget,Provisional,ValueWithTolerance,0.2,0.2,0.2,m,0.001,0,0.65,M06A explicit composition config,Same effective collider-derived value as baseline.
static-geometry-mass:mass.center_of_mass_z_m,static-geometry-mass,mass.center_of_mass_z_m,RemakeDesignTarget,Provisional,ValueWithTolerance,0,0,0,m,0.001,0,0.65,M06A explicit composition config,Explicit proxy CoM; donor assembled CoM is Unknown.
static-geometry-mass:geometry.wheelbase_m,static-geometry-mass,geometry.wheelbase_m,DerivedReference,Provisional,ValueWithTolerance,2.334,2.334,2.334,m,0.002,0,0.95,ReferenceCaptureDatabase:a2a2647de4c9f2e05568e98a27d59380,Derived from wheel roots.
static-geometry-mass:geometry.front_track_m,static-geometry-mass,geometry.front_track_m,DerivedReference,Provisional,ValueWithTolerance,1.26,1.26,1.26,m,0.002,0,0.95,ReferenceCaptureDatabase:93b15a1420a962441f82ad53e074ed09,At wheel roots.
static-geometry-mass:geometry.rear_track_m,static-geometry-mass,geometry.rear_track_m,DerivedReference,Provisional,ValueWithTolerance,1.206,1.206,1.206,m,0.002,0,0.95,ReferenceCaptureDatabase:98bbe4fc8f0e5702bfbbbf03592d0b28,At wheel roots.
static-geometry-mass:geometry.wheel_radius_m,static-geometry-mass,geometry.wheel_radius_m,PlausibilityTarget,Provisional,ValueWithTolerance,0.272667,0.272667,0.272667,m,0.001,0,0.65,ReferenceCaptureDatabase:f7d49044cec918b66ac64e0099a7781f,NeedsReview; fitted identity unknown.
static-geometry-mass:geometry.ride_height_m,static-geometry-mass,geometry.ride_height_m,Unknown,Unknown,Unspecified,,,,m,,,,,No controlled donor ride-height fixture.
static-geometry-mass:geometry.ground_clearance_m,static-geometry-mass,geometry.ground_clearance_m,Unknown,Unknown,Unspecified,,,,m,,,,,No validated chassis clearance marker.
static-geometry-mass:suspension.rest_length_config_m,static-geometry-mass,suspension.rest_length_config_m,RemakeDesignTarget,Provisional,ValueWithTolerance,0.32,0.32,0.32,m,0.001,0,0.65,M06 config,Configured ray length component; not donor suspension rest position.
static-geometry-mass:suspension.travel_config_m,static-geometry-mass,suspension.travel_config_m,RemakeDesignTarget,Provisional,ValueWithTolerance,0.18,0.18,0.18,m,0.001,0,0.65,M06 config,Configured travel; donor travel Missing.
