result_id,run_id,fixture_id,metric_id,classification,status,sample_count,mean,median,minimum,maximum,stddev,target,accepted_minimum,accepted_maximum,unit,source,notes
m06a-static-geometry-mass:mass.proxy_total_kg,m06a-static-geometry-mass,static-geometry-mass,mass.proxy_total_kg,RemakeDesignTarget,Passed,1,650,650,650,650,0,650,649.99,650.01,kg,M06 config,Not donor total mass.
m06a-static-geometry-mass:mass.logical_parts_sum_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_parts_sum_kg,RemakeDesignTarget,Informational,1,871.7,871.7,871.7,871.7,0,871.7,871.69,871.71,kg,M06 logical assembly,Excluded from Rigidbody mass.
m06a-static-geometry-mass:mass.logical_part.m06.chassis_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.chassis_kg,RemakeDesignTarget,Informational,1,620,620,620,620,0,620,620,620,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.engine_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.engine_kg,RemakeDesignTarget,Informational,1,92,92,92,92,0,92,92,92,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.starter_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.starter_kg,RemakeDesignTarget,Informational,1,4.2,4.2,4.2,4.2,0,4.2,4.2,4.2,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.battery_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.battery_kg,RemakeDesignTarget,Informational,1,11.5,11.5,11.5,11.5,0,11.5,11.5,11.5,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.fuel_tank_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.fuel_tank_kg,RemakeDesignTarget,Informational,1,28,28,28,28,0,28,28,28,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.clutch_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.clutch_kg,RemakeDesignTarget,Informational,1,7,7,7,7,0,7,7,7,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.gearbox_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.gearbox_kg,RemakeDesignTarget,Informational,1,31,31,31,31,0,31,31,31,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.differential_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.differential_kg,RemakeDesignTarget,Informational,1,18,18,18,18,0,18,18,18,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.wheel.fl_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.wheel.fl_kg,RemakeDesignTarget,Informational,1,15,15,15,15,0,15,15,15,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.wheel.fr_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.wheel.fr_kg,RemakeDesignTarget,Informational,1,15,15,15,15,0,15,15,15,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.wheel.rl_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.wheel.rl_kg,RemakeDesignTarget,Informational,1,15,15,15,15,0,15,15,15,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.logical_part.m06.wheel.rr_kg,m06a-static-geometry-mass,static-geometry-mass,mass.logical_part.m06.wheel.rr_kg,RemakeDesignTarget,Informational,1,15,15,15,15,0,15,15,15,kg,M06 logical AssemblyGraph,installed=True; includedInPhysicsMass=False; excluded from Rigidbody mass calibration.
m06a-static-geometry-mass:mass.center_of_mass_x_m,m06a-static-geometry-mass,static-geometry-mass,mass.center_of_mass_x_m,RemakeDesignTarget,Passed,1,0,0,0,0,0,0,-0.001,0.001,m,M06A config migration,Explicit proxy CoM X; donor assembled CoM is Unknown.
m06a-static-geometry-mass:mass.center_of_mass_y_m,m06a-static-geometry-mass,static-geometry-mass,mass.center_of_mass_y_m,RemakeDesignTarget,Passed,1,0.2,0.2,0.2,0.2,0,0.2,0.199,0.201,m,M06A config migration,Ownership moved from implicit collider result to central config; numeric value unchanged.
m06a-static-geometry-mass:mass.center_of_mass_z_m,m06a-static-geometry-mass,static-geometry-mass,mass.center_of_mass_z_m,RemakeDesignTarget,Passed,1,0,0,0,0,0,0,-0.001,0.001,m,M06A config migration,Explicit proxy CoM Z; donor assembled CoM is Unknown.
m06a-static-geometry-mass:geometry.wheelbase_m,m06a-static-geometry-mass,static-geometry-mass,geometry.wheelbase_m,DerivedReference,Passed,1,2.334,2.334,2.334,2.334,0,2.334,2.332,2.336,m,ReferenceCaptureDatabase:a2a2647de4c9f2e05568e98a27d59380,Wheel-root derivation.
m06a-static-geometry-mass:geometry.front_track_m,m06a-static-geometry-mass,static-geometry-mass,geometry.front_track_m,DerivedReference,Passed,1,1.26,1.26,1.26,1.26,0,1.26,1.258,1.262,m,ReferenceCaptureDatabase:93b15a1420a962441f82ad53e074ed09,At wheel roots.
m06a-static-geometry-mass:geometry.rear_track_m,m06a-static-geometry-mass,static-geometry-mass,geometry.rear_track_m,DerivedReference,Passed,1,1.206,1.206,1.206,1.206,0,1.206,1.204,1.208,m,ReferenceCaptureDatabase:98bbe4fc8f0e5702bfbbbf03592d0b28,At wheel roots.
m06a-static-geometry-mass:geometry.wheel_radius_m,m06a-static-geometry-mass,static-geometry-mass,geometry.wheel_radius_m,PlausibilityTarget,Informational,1,0.272667,0.272667,0.272667,0.272667,0,0.272667,0.271667,0.273667,m,ReferenceCaptureDatabase:f7d49044cec918b66ac64e0099a7781f,Candidate mesh radius; fitted identity unknown.
m06a-static-geometry-mass:suspension.design_static_compression_m,m06a-static-geometry-mass,static-geometry-mass,suspension.design_static_compression_m,RemakeDesignTarget,Informational,1,0.05693304,0.05693304,0.05693304,0.05693304,0,0.05693304,0.05693304,0.05693304,m,M06 config calculation,Not donor static compression.
m06a-static-geometry-mass:geometry.proxy_anchor_height_m,m06a-static-geometry-mass,static-geometry-mass,geometry.proxy_anchor_height_m,RemakeDesignTarget,Informational,1,0.5357339,0.5357339,0.5357339,0.5357339,0,0.5357339,0.5357339,0.5357339,m,M06 reset-pose calculation,Not donor ride height.
m06a-static-geometry-mass:geometry.proxy_collider_clearance_m,m06a-static-geometry-mass,static-geometry-mass,geometry.proxy_collider_clearance_m,RemakeDesignTarget,Informational,1,0.5257339,0.5257339,0.5257339,0.5257339,0,0.5257339,0.5257339,0.5257339,m,M06 proxy calculation,High provisional collider clearance; donor ground clearance Unknown.
m06a-static-geometry-mass:geometry.ride_height_m,m06a-static-geometry-mass,static-geometry-mass,geometry.ride_height_m,Unknown,Unknown,0,,,,,,,,,m,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor fixture.
m06a-static-geometry-mass:geometry.ground_clearance_m,m06a-static-geometry-mass,static-geometry-mass,geometry.ground_clearance_m,Unknown,Unknown,0,,,,,,,,,m,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No validated chassis marker.
m06a-static-geometry-mass:suspension.rest_length_config_m,m06a-static-geometry-mass,static-geometry-mass,suspension.rest_length_config_m,RemakeDesignTarget,Informational,1,0.32,0.32,0.32,0.32,0,0.32,0.32,0.32,m,M06 config,Configured raycast suspension rest length; not donor rest position.
m06a-static-geometry-mass:suspension.travel_config_m,m06a-static-geometry-mass,static-geometry-mass,suspension.travel_config_m,RemakeDesignTarget,Informational,1,0.18,0.18,0.18,0.18,0,0.18,0.18,0.18,m,M06 config,Donor suspension travel Missing.
m06a-static-geometry-mass:suspension.spring_rate_config_n_m,m06a-static-geometry-mass,static-geometry-mass,suspension.spring_rate_config_n_m,RemakeDesignTarget,Informational,1,28000,28000,28000,28000,0,28000,28000,28000,N/m,M06 config,Project tuning; donor spring curve Missing.
m06a-static-geometry-mass:suspension.damper_rate_config_n_s_m,m06a-static-geometry-mass,static-geometry-mass,suspension.damper_rate_config_n_s_m,RemakeDesignTarget,Informational,1,3500,3500,3500,3500,0,3500,3500,3500,N*s/m,M06 config,Project tuning; donor damping/rebound Missing.
m06a-pure-start-idle:engine.starter_time_s,m06a-pure-start-idle,start-idle,engine.starter_time_s,RemakeDesignTarget,Passed,5,0.3,0.3,0.3,0.3,0,0.55,-0.05,1.15,s,M06A pure VehicleCalibrationRun,Durable result produced by VehicleCalibrationComparator. Observed statistic is within the accepted target bounds.
m06a-pure-start-idle:engine.idle_rpm,m06a-pure-start-idle,start-idle,engine.idle_rpm,RemakeDesignTarget,Passed,5,902.531,902.531,902.531,902.531,0,900,780,1020,rpm,M06A pure VehicleCalibrationRun,Durable result produced by VehicleCalibrationComparator. Observed statistic is within the accepted target bounds.
m06a-pure-start-idle:engine.idle_max_deviation_rpm,m06a-pure-start-idle,start-idle,engine.idle_max_deviation_rpm,RemakeDesignTarget,Passed,5,11.26776,11.26776,11.26776,11.26776,0,120,-340282300000000000000000000000000000000,140,rpm,M06A pure VehicleCalibrationRun,Durable result produced by VehicleCalibrationComparator. Observed statistic is within the accepted target bounds.
m06a-pure-start-idle:numeric.finite_state,m06a-pure-start-idle,start-idle,numeric.finite_state,RemakeDesignTarget,Passed,5,1,1,1,1,0,1,1,340282300000000000000000000000000000000,bool,M06A pure VehicleCalibrationRun,Durable result produced by VehicleCalibrationComparator. Observed statistic is within the accepted target bounds.
m06a-static-geometry-mass:geometry.steering_lock_config_deg,m06a-static-geometry-mass,static-geometry-mass,geometry.steering_lock_config_deg,RemakeDesignTarget,Informational,1,30,30,30,30,0,30,30,30,deg,M06 config,Donor lock Missing.
m06a-static-geometry-mass:brake.uniform_front_share,m06a-static-geometry-mass,static-geometry-mass,brake.uniform_front_share,RemakeDesignTarget,Informational,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,ratio,M06 wheel command routing,Uniform four-wheel command; not donor balance.
m06a-static-garage-clearance:world.garage_width_margin_m,m06a-static-garage-clearance,garage-clearance,world.garage_width_margin_m,RemakeDesignTarget,Passed,1,0.92,0.92,0.92,0.92,0,0.92,0.92,,m,05A representative envelope fixture,3.12m opening minus 2.20m representative vehicle envelope; not current proxy collider width.
m06a-static-garage-clearance:world.garage_height_margin_m,m06a-static-garage-clearance,garage-clearance,world.garage_height_margin_m,RemakeDesignTarget,Passed,1,0.47,0.47,0.47,0.47,0,0.47,0.47,,m,05A representative envelope fixture,2.22m opening minus 1.75m representative vehicle envelope; not current proxy collider height.
m06a-static-garage-clearance:world.threshold_height_m,m06a-static-garage-clearance,garage-clearance,world.threshold_height_m,RemakeDesignTarget,Informational,1,0.105,0.105,0.105,0.105,0,0.105,0.095,0.115,m,Production cell project measurement,Not donor threshold parity.
m06a-static-powertrain-config:engine.throttle_response_config_per_s,m06a-static-powertrain-config,powertrain-config,engine.throttle_response_config_per_s,RemakeDesignTarget,Informational,1,5,5,5,5,0,5,5,5,1/s,M06 config,Configured input smoothing; free-rev donor response Missing.
m06a-static-powertrain-config:engine.stall_rpm_config,m06a-static-powertrain-config,powertrain-config,engine.stall_rpm_config,RemakeDesignTarget,Informational,1,500,500,500,500,0,500,500,500,rpm,M06 config,Config value; donor stall fixture Missing.
m06a-static-powertrain-config:engine.braking_torque_config_nm,m06a-static-powertrain-config,powertrain-config,engine.braking_torque_config_nm,RemakeDesignTarget,Informational,1,18,18,18,18,0,18,18,18,N*m,M06 config,Config value; controlled engine-braking run not executed.
m06a-static-powertrain-config:clutch.maximum_torque_config_nm,m06a-static-powertrain-config,powertrain-config,clutch.maximum_torque_config_nm,RemakeDesignTarget,Informational,1,220,220,220,220,0,220,220,220,N*m,M06 config,Config value; donor engagement curve Missing.
m06a-static-powertrain-config:clutch.slip_stiffness_config,m06a-static-powertrain-config,powertrain-config,clutch.slip_stiffness_config,RemakeDesignTarget,Informational,1,7.5,7.5,7.5,7.5,0,7.5,7.5,7.5,coefficient,M06 config,Config value; controlled clutch-slip fixture not executed.
m06a-static-powertrain-config:gearbox.reverse_ratio,m06a-static-powertrain-config,powertrain-config,gearbox.reverse_ratio,RemakeDesignTarget,Informational,1,-3.25,-3.25,-3.25,-3.25,0,-3.25,-3.25,-3.25,ratio,M06 config,Donor ratio Missing.
m06a-static-powertrain-config:drivetrain.final_drive_ratio,m06a-static-powertrain-config,powertrain-config,drivetrain.final_drive_ratio,RemakeDesignTarget,Informational,1,3.9,3.9,3.9,3.9,0,3.9,3.9,3.9,ratio,M06 config,Donor final drive Missing.
m06a-static-powertrain-config:gearbox.forward_1_ratio,m06a-static-powertrain-config,powertrain-config,gearbox.forward_1_ratio,RemakeDesignTarget,Informational,1,3.5,3.5,3.5,3.5,0,3.5,3.5,3.5,ratio,M06 config,Donor ratio Missing.
m06a-static-geometry-mass:powertrain.rpm_at_10m_s_gear_1,m06a-static-geometry-mass,static-geometry-mass,powertrain.rpm_at_10m_s_gear_1,RemakeDesignTarget,Passed,1,4780.479,4780.479,4780.479,4780.479,0,4780.479,4780.379,4780.58,rpm,M06 ratios/final drive/radius,No-slip kinematic relation; donor ratios Missing.
m06a-static-powertrain-config:gearbox.forward_2_ratio,m06a-static-powertrain-config,powertrain-config,gearbox.forward_2_ratio,RemakeDesignTarget,Informational,1,2.05,2.05,2.05,2.05,0,2.05,2.05,2.05,ratio,M06 config,Donor ratio Missing.
m06a-static-geometry-mass:powertrain.rpm_at_10m_s_gear_2,m06a-static-geometry-mass,static-geometry-mass,powertrain.rpm_at_10m_s_gear_2,RemakeDesignTarget,Passed,1,2799.995,2799.995,2799.995,2799.995,0,2799.995,2799.895,2800.095,rpm,M06 ratios/final drive/radius,No-slip kinematic relation; donor ratios Missing.
m06a-static-powertrain-config:gearbox.forward_3_ratio,m06a-static-powertrain-config,powertrain-config,gearbox.forward_3_ratio,RemakeDesignTarget,Informational,1,1.36,1.36,1.36,1.36,0,1.36,1.36,1.36,ratio,M06 config,Donor ratio Missing.
m06a-static-geometry-mass:powertrain.rpm_at_10m_s_gear_3,m06a-static-geometry-mass,static-geometry-mass,powertrain.rpm_at_10m_s_gear_3,RemakeDesignTarget,Passed,1,1857.558,1857.558,1857.558,1857.558,0,1857.558,1857.458,1857.658,rpm,M06 ratios/final drive/radius,No-slip kinematic relation; donor ratios Missing.
m06a-static-powertrain-config:gearbox.forward_4_ratio,m06a-static-powertrain-config,powertrain-config,gearbox.forward_4_ratio,RemakeDesignTarget,Informational,1,1,1,1,1,0,1,1,1,ratio,M06 config,Donor ratio Missing.
m06a-static-geometry-mass:powertrain.rpm_at_10m_s_gear_4,m06a-static-geometry-mass,static-geometry-mass,powertrain.rpm_at_10m_s_gear_4,RemakeDesignTarget,Passed,1,1365.851,1365.851,1365.851,1365.851,0,1365.851,1365.751,1365.951,rpm,M06 ratios/final drive/radius,No-slip kinematic relation; donor ratios Missing.
m06a-static-powertrain-config:gearbox.forward_5_ratio,m06a-static-powertrain-config,powertrain-config,gearbox.forward_5_ratio,RemakeDesignTarget,Informational,1,0.82,0.82,0.82,0.82,0,0.82,0.82,0.82,ratio,M06 config,Donor ratio Missing.
m06a-static-geometry-mass:powertrain.rpm_at_10m_s_gear_5,m06a-static-geometry-mass,static-geometry-mass,powertrain.rpm_at_10m_s_gear_5,RemakeDesignTarget,Passed,1,1119.998,1119.998,1119.998,1119.998,0,1119.998,1119.898,1120.098,rpm,M06 ratios/final drive/radius,No-slip kinematic relation; donor ratios Missing.
m06a-static-surface-comparison:surface.friction.Paved,m06a-static-surface-comparison,surface-comparison,surface.friction.Paved,RemakeDesignTarget,Informational,1,1,1,1,1,0,1,1,1,multiplier,M06 config,Project surface ordering; not measured friction coefficient.
m06a-static-surface-comparison:surface.friction.Gravel,m06a-static-surface-comparison,surface-comparison,surface.friction.Gravel,RemakeDesignTarget,Informational,1,0.72,0.72,0.72,0.72,0,0.72,0.72,0.72,multiplier,M06 config,Project surface ordering; not measured friction coefficient.
m06a-static-surface-comparison:surface.friction.Dirt,m06a-static-surface-comparison,surface-comparison,surface.friction.Dirt,RemakeDesignTarget,Informational,1,0.62,0.62,0.62,0.62,0,0.62,0.62,0.62,multiplier,M06 config,Project surface ordering; not measured friction coefficient.
m06a-static-surface-comparison:surface.friction.Grass,m06a-static-surface-comparison,surface-comparison,surface.friction.Grass,RemakeDesignTarget,Informational,1,0.48,0.48,0.48,0.48,0,0.48,0.48,0.48,multiplier,M06 config,Project surface ordering; not measured friction coefficient.
m06a-static-surface-comparison:surface.friction.MudWet,m06a-static-surface-comparison,surface-comparison,surface.friction.MudWet,RemakeDesignTarget,Informational,1,0.35,0.35,0.35,0.35,0,0.35,0.35,0.35,multiplier,M06 config,Project surface ordering; not measured friction coefficient.
m06a-physx-start-idle:engine.starter_time_s,m06a-physx-start-idle,start-idle,engine.starter_time_s,RemakeDesignTarget,Passed,3,0.2999999,0.2999999,0.2999999,0.2999999,0,1,0.1,1,s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-start-idle:engine.idle_rpm,m06a-physx-start-idle,start-idle,engine.idle_rpm,RemakeDesignTarget,Passed,3,902.531,902.531,902.531,902.531,0,1020,780,1020,rpm,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-start-idle:engine.idle_max_deviation_rpm,m06a-physx-start-idle,start-idle,engine.idle_max_deviation_rpm,RemakeDesignTarget,Passed,3,11.26776,11.26776,11.26776,11.26776,0,120,0,120,rpm,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
m06a-physx-acceleration:longitudinal.launch_peak_speed_m_s,m06a-physx-acceleration,acceleration,longitudinal.launch_peak_speed_m_s,RemakeDesignTarget,Passed,3,1.012281,1.012281,1.012281,1.012281,0,0.5,0.5,,m/s,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Repeated PhysX trials.
