elapsed_s,rpm,throttle,engine_load,engine_torque_nm,clutch_slip_rpm,gear,shift_status,gearbox_input_rad_s,gearbox_output_rad_s,differential_torque_nm,speed_m_s,steering_deg,brake,battery_v,engine_temp_c,prerequisite_flags,fixed_step_s,substeps,simulation_ms,backend_sample_ms,backend_apply_ms,w0_contact,w0_normal_load_n,w0_longitudinal_slip,w0_lateral_slip,w0_omega_rad_s,w0_suspension_01,w0_surface,w1_contact,w1_normal_load_n,w1_longitudinal_slip,w1_lateral_slip,w1_omega_rad_s,w1_suspension_01,w1_surface,w2_contact,w2_normal_load_n,w2_longitudinal_slip,w2_lateral_slip,w2_omega_rad_s,w2_suspension_01,w2_surface,w3_contact,w3_normal_load_n,w3_longitudinal_slip,w3_lateral_slip,w3_omega_rad_s,w3_suspension_01,w3_surface
0.0199999921,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0686,0.0403,0.011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.0399999879,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0287,0.0198,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.0599999838,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0277,0.0186,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.07999997,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0289,0.02,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.09999995,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0267,0.0185,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.11999993,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0317,0.0216,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.139999911,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0301,0.0204,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.159999892,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0444,0.0344,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.179999873,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0294,0.0198,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.199999854,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0292,0.0194,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.219999835,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0324,0.0219,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.239999816,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0292,0.0196,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.2599998,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0305,0.0209,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.2799998,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0319,0.0216,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.299999774,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0316,0.0213,0.0013,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.319999754,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.034,0.0237,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.339999735,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0286,0.0192,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.359999716,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0297,0.0201,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.3799997,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0304,0.021,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.399999678,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,20,16640,0.0199999921,4,0.0322,0.0216,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.419999659,36.18188,0,0,0,36.18188,0,0,0,0,0,0,0,0,12.5968,20,49152,0.0199999921,4,0.0389,0.0267,0.0014,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.43999964,67.13743,0,0,0,67.13743,0,0,0,0,0,0,0,0,12.5935993,20,49152,0.0199999921,4,0.0316,0.0211,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.459999621,98.04142,0,0,0,98.04142,0,0,0,0,0,0,0,0,12.5903988,20,49152,0.0199999921,4,0.0306,0.0202,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.4799996,128.893921,0,0,0,128.893921,0,0,0,0,0,0,0,0,12.5871983,20,49152,0.0199999921,4,0.0334,0.0224,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.499999583,159.695068,0,0,0,159.695068,0,0,0,0,0,0,0,0,12.5839977,20,49152,0.0199999921,4,0.0317,0.0212,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.519999564,190.4449,0,0,0,190.4449,0,0,0,0,0,0,0,0,12.5807972,20,49152,0.0199999921,4,0.0316,0.0209,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.539999545,221.1435,0,0,0,221.1435,0,0,0,0,0,0,0,0,12.5775967,20,49152,0.0199999921,4,0.0315,0.0211,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.5599995,251.79097,0,0,0,251.79097,0,0,0,0,0,0,0,0,12.5743961,20,49152,0.0199999921,4,0.0325,0.0215,0.0012,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.5799995,282.387421,0,0,0,282.387421,0,0,0,0,0,0,0,0,12.5711956,20,49152,0.0199999921,4,0.0313,0.021,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.5999995,312.9329,0,0,0,312.9329,0,0,0,0,0,0,0,0,12.5679951,20,49152,0.0199999921,4,0.0278,0.0186,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.619999468,343.4275,0,0,0,343.4275,0,0,0,0,0,0,0,0,12.5647945,20,49152,0.0199999921,4,0.029,0.0197,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.639999449,373.871338,0,0,0,373.871338,0,0,0,0,0,0,0,0,12.561594,20,49152,0.0199999921,4,0.0269,0.0184,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.65999943,404.264465,0,0,0,404.264465,0,0,0,0,0,0,0,0,12.5583935,20,49152,0.0199999921,4,0.0244,0.0165,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.6799994,434.606934,0,0,0,434.606934,0,0,0,0,0,0,0,0,12.5551929,20,49152,0.0199999921,4,0.0268,0.0184,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.6999994,472.108154,0,0,18.237936,472.108154,0,0,0,0,0,0,0,0,12.5519924,20.012,49152,0.0199999921,4,0.0286,0.0188,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.7199994,479.6271,0.0999999642,0,18.4730377,479.6271,1,1,0,0,0,0,0,0,12.5527935,20.0599766,32768,0.0199999921,4,0.0305,0.0196,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.739999354,487.194641,0.199999928,0,18.54752,487.194641,1,0,0,0,0,0,0,0,12.5535946,20.1079235,32768,0.0199999921,4,0.0308,0.0196,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.759999335,494.805664,0.2999999,0,18.6156063,494.805664,1,0,0,0,0,0,0,0,12.5543957,20.1558342,32768,0.0199999921,4,0.0318,0.0201,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.7799993,502.6085,0.3999998,0,19.4495163,502.6085,1,0,0,0,0,0,0,0,12.5551968,20.2037125,32768,0.0199999921,4,0.0317,0.0201,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.7999993,513.508545,0.4999997,0,24.789917,513.508545,1,0,0,0,0,0,0,0,12.5559978,20.2515583,32768,0.0199999921,4,0.0292,0.0189,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.8199993,528.8499,0.5999996,0,30.57534,528.8499,1,0,0,0,0,0,0,0,12.5567989,20.2993679,32768,0.0199999921,4,0.0323,0.0207,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.839999259,549.054138,0.6999995,0,36.95929,549.054138,1,0,0,0,0,0,0,0,12.5576,20.347147,32768,0.0199999921,4,0.0313,0.0197,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.859999239,574.6761,0.7999994,0,44.12044,574.6761,1,0,0,0,0,0,0,0,12.5584011,20.3948917,32768,0.0199999921,4,0.0317,0.0202,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.8799992,605.5605,0.85,0,49.3434067,605.5605,1,0,0,0,0,0,0,0,12.5592022,20.4426022,32768,0.0199999921,4,0.0317,0.02,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.8999992,638.762146,0.85,0,52.0417061,638.762146,1,0,0,0,0,0,0,0,12.5600033,20.4902821,32768,0.0199999921,4,0.0321,0.0206,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.9199992,674.1416,0.85,0,54.91701,674.1416,1,0,0,0,0,0,0,0,12.5608044,20.5379238,32768,0.0199999921,4,0.0327,0.021,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.939999163,711.815369,0.85,0,57.84741,711.815369,1,0,0,0,0,0,0,0,12.5616055,20.585535,32768,0.0199999921,4,0.0407,0.0262,0.0013,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.959999144,750.6879,0.85,0,58.685215,750.6879,1,0,0,0,0,0,0,0,12.5624065,20.6331139,32768,0.0199999921,4,0.0328,0.0198,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.9799991,790.1686,0.85,0,59.53612,790.1686,1,0,0,0,0,0,0,0,12.5632076,20.6806564,32768,0.0199999921,4,0.0291,0.0186,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
0.9999991,830.2667,0.85,0,60.4003372,830.2667,1,0,0,0,0,0,0,0,12.5640087,20.7281685,32768,0.0199999921,4,0.0297,0.019,0.0008,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.01999915,870.9921,0.85,0,61.2780762,870.9921,1,0,0,0,0,0,0,0,12.56481,20.7756462,32768,0.0199999921,4,0.0376,0.0252,0.0013,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.03999913,912.354553,0.85,0,62.1695442,912.354553,1,0,0,0,0,0,0,0,12.5656109,20.82309,32768,0.0199999921,4,0.032,0.0205,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.05999911,954.3641,0.85,0,63.07496,954.3641,1,0,0,0,0,0,0,0,12.566412,20.8705025,32768,0.0199999921,4,0.0303,0.0195,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.07999909,997.0306,0.85,0,63.99453,997.0306,1,0,0,0,0,0,0,0,12.5672131,20.91788,32768,0.0199999921,4,0.0375,0.0245,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.09999907,1040.3645,0.85,0,64.92848,1040.3645,1,0,0,0,0,0,0,0,12.5680141,20.9652233,32768,0.0199999921,4,0.0369,0.0241,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.119999,1084.37634,0.85,0,65.87706,1084.37634,1,0,0,0,0,0,0,0,12.5688152,21.012537,32768,0.0199999921,4,0.0386,0.0253,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.139999,1129.07666,0.85,0,66.84046,1129.07666,1,0,0,0,0,0,0,0,12.5696163,21.0598145,32768,0.0199999921,4,0.0349,0.0227,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.159999,1174.47607,0.85,0,67.81893,1174.47607,1,0,0,0,0,0,0,0,12.5704174,21.10706,32768,0.0199999921,4,0.0322,0.0208,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.179999,1220.58582,0.85,0,68.81272,1220.58582,1,0,0,0,0,0,0,0,12.5712185,21.154274,32768,0.0199999921,4,0.0516,0.0377,0.0013,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.199999,1267.41638,0.85,0,69.8220444,1267.41638,1,0,0,0,0,0,0,0,12.57202,21.2014523,32768,0.0199999921,4,0.0295,0.0191,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.219999,1314.97961,0.85,0,70.84715,1314.97961,1,0,0,0,0,0,0,0,12.5728207,21.2485981,32768,0.0199999921,4,0.0345,0.0223,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.23999894,1363.28674,0.85,0,71.8883,1363.28674,1,0,0,0,0,0,0,0,12.5736217,21.2957134,32768,0.0199999921,4,0.0311,0.0203,0.0007,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.25999892,1412.34961,0.85,0,72.9457245,1412.34961,1,0,0,0,0,0,0,0,12.5744228,21.3427925,32768,0.0199999921,4,0.0323,0.0207,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.2799989,1462.17993,0.85,0,74.0197,1462.17993,1,0,0,0,0,0,0,0,12.5752239,21.38984,32768,0.0199999921,4,0.0309,0.0194,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.29999888,1512.78955,0.85,0,75.110466,1512.78955,1,0,0,0,0,0,0,0,12.576025,21.4368553,32768,0.0199999921,4,0.0423,0.028,0.0012,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.31999886,1564.19092,0.85,0,76.21829,1564.19092,1,0,0,0,0,0,0,0,12.5768261,21.4838371,32768,0.0199999921,4,0.0328,0.021,0.0011,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.33999884,1616.39636,0.85,0,77.34346,1616.39636,1,0,0,0,0,0,0,0,12.5776272,21.5307846,32768,0.0199999921,4,0.0317,0.0202,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.35999882,1669.41821,0.85,0,78.48621,1669.41821,1,0,0,0,0,0,0,0,12.5784283,21.5777016,32768,0.0199999921,4,0.0324,0.0211,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.3799988,1723.26953,0.85,0,79.64685,1723.26953,1,0,0,0,0,0,0,0,12.5792294,21.6245861,32768,0.0199999921,4,0.0333,0.0213,0.0012,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.39999878,1777.96326,0.85,0,80.8256454,1777.96326,1,0,0,0,0,0,0,0,12.58003,21.6714344,32768,0.0199999921,4,0.0327,0.0207,0.0013,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.41999876,1833.434,0.85,0,81.71716,1833.434,1,0,0,0,0,0,0,0,12.5808315,21.7182522,32768,0.0199999921,4,0.0333,0.0218,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.43999875,1889.17188,0.85,0,82.05133,1889.17188,1,0,0,0,0,0,0,0,12.5816326,21.76504,32768,0.0199999921,4,0.0311,0.0202,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.45999873,1945.08313,0.85,0,82.3865356,1945.08313,1,0,0,0,0,0,0,0,12.5824337,21.81179,32768,0.0199999921,4,0.0408,0.0274,0.0012,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.47999871,2001.16833,0.85,0,82.7227859,2001.16833,1,0,0,0,0,0,0,0,12.5832348,21.85851,32768,0.0199999921,4,0.0311,0.0197,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.49999869,2057.42822,0.85,0,83.06008,2057.42822,1,0,0,0,0,0,0,0,12.5840359,21.9051971,32768,0.0199999921,4,0.0319,0.0205,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.51999867,2113.86328,0.85,0,83.39843,2113.86328,1,0,0,0,0,0,0,0,12.584837,21.9518528,32768,0.0199999921,4,0.0321,0.0205,0.001,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
1.53999865,2170.47388,0.85,0,83.73783,2170.47388,1,0,0,0,0,0,0,0,12.585638,21.9984722,32768,0.0199999921,4,0.0325,0.0207,0.0009,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1,1,1594.122,0,0,0,0.316294,1
