AssetKind,SourceGuid,SourceRelativePath,SourceSha256,SourceMetaSha256,SourceShaderOrProperties,CompatibilityOrRole,GeneratedAssetPath,ConversionFingerprintSha256,ReferenceCount,Width,Height,SourceBytes,EstimatedRuntimeBytes,SRGB,NormalMap,Mipmaps,StreamingMipmaps,WrapMode,FilterMode,AnisoLevel,Classification,Status,Notes
Material,011a65401b0b20241800d2a3fe119ac7,assetripper-unity-project/ExportedProject/Assets/Material/wood10.mat,1670103ef5cc9dda405bbdf2a2b14af6063ba44e958768ddc1180c7082ba3642,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_011a65401b0b20241800d2a3fe119ac7.mat,b8c6878eba4dac9f64e8afff88639c20425fcbab15308a855b193a310f68e80d,1,,,769,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,01276ca3ba7b9d847ab65a714052a724,assetripper-unity-project/ExportedProject/Assets/Material/plaster.mat,ac063ce430128c45f943e012390f3c7cc4648cc419b0f1176b4e34dc69a3488c,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_01276ca3ba7b9d847ab65a714052a724.mat,f5decbba26186f3911df0dc7cc0890106652e0ba08a34fcbf2ac3245e8dbe3a4,1,,,1893,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,012b7f2522e1d1e4599c91e91bf037da,assetripper-unity-project/ExportedProject/Assets/Material/cardboard_box.mat,36ea2b4c2fead6b208d0ccdd3a845f4bd69f40e028ef689805d901e3d9198587,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_012b7f2522e1d1e4599c91e91bf037da.mat,896b73a08e653a07e720a04e9c81087c06fe79b2e105191dc3a50b56dbff12c4,4,,,779,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,0163a99e90ca7104889755e9840f7bec,assetripper-unity-project/ExportedProject/Assets/Material/mast.mat,e7d13ed3c3d334d7b39f0d2bead821199860c681f9a76062dd65c4282114196d,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_0163a99e90ca7104889755e9840f7bec.mat,c9c012def8b4487e59a23b3dbc8f60d629bf3c14c9fbd735654e5b7c54886b01,1,,,1902,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,01ffbe2f081493f45bec089b2a5a82d7,assetripper-unity-project/ExportedProject/Assets/Material/rally_signs.mat,53a9942f6be9a7985027764826572927fe4211b62491fe3d0edeb1532b2d4db4,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_01ffbe2f081493f45bec089b2a5a82d7.mat,a61f9b94d6dcbfec23ffebca1c954a00d7cb119f6a5f92cecf57653ea18e19d4,36,,,1895,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,0314abc01380d60468dc4791cd6d2867,assetripper-unity-project/ExportedProject/Assets/Material/tiles1.mat,9c9532f105d91291e50a6d7ec5f0b196ee45cbabe901130c84ad58076cd15519,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_0314abc01380d60468dc4791cd6d2867.mat,0235e3d591bf6a83825e1663a1c1605090835574673d8e09a48b27691d4e8d9c,1,,,1893,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,034d277fe63ce0c4987b2da5acc4e3e9,assetripper-unity-project/ExportedProject/Assets/Material/color07.mat,9e83440c3c3695d35c480556d644f052a5f4d88dac4589cd7e6853cb1e34b68c,,Standard,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_034d277fe63ce0c4987b2da5acc4e3e9.mat,0a7b8f1f2cde405b476dd5da02d5e818de5d1dc3740dbc8d60bdcc546b180985,3,,,3476,7496,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,039ab40732f109b439a172bd6d7a4346,assetripper-unity-project/ExportedProject/Assets/Material/card_house6.mat,2b7952ee6eeab3fa924a8a5c1b6e9440faa8af42ec8441cda74952de831d4a39,,Legacy Shaders/Diffuse Detail,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_039ab40732f109b439a172bd6d7a4346.mat,73d3178e9d8088ca79df6d18a80fd6c0f08626fab87953abba4fb510ed0b2ada,1,,,2147,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,04ed28788404f884e94b12d39c7ca0d6,assetripper-unity-project/ExportedProject/Assets/Material/wood_panel12.mat,b1fd5c10f56d66558de425ac0c43734f499c95176f1e7eb185f3eff85b690bfd,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_04ed28788404f884e94b12d39c7ca0d6.mat,67f92c462bf0a2898832b0842c44f4d944db23680a39118f2bfc248950f11cae,95,,,1920,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
Material,052e7feb16347dc48a2a6ca12c8aa25e,assetripper-unity-project/ExportedProject/Assets/Material/wood_panel8.mat,fe67cc36216195bd4a6254505ccf8fe57b9ff653beff1ef47d3ff13493d8be33,,BuiltIn/7,OpaqueLit,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_052e7feb16347dc48a2a6ca12c8aa25e.mat,2f2e39f7708950386ed595caadb71c2a3a9ec8ac5856bf24dc9d3b9f8a1c62b8,14,,,1901,7416,,,,,,,,TemporaryDirectImport,Converted,Project-owned HDRP compatibility material; donor shader code is not imported.
