LegacyWorldObjectId,ReplacementKey,SourceObjectId,SourceHierarchyPath,SemanticCategory,SourceCellId,AssignedOwner,OwnershipReason,HasRenderer,EffectiveActive,ColliderStableId,Classification,SourceRevisionId,SourceMaterialGuids,LegacyTexturedMaterialPaths,LegacyDiagnosticMaterialPath,PresentationStatus
00114f685d2fc0afcb1eaeb04309fc07,legacy-world:00114f685d2fc0afcb1eaeb04309fc07,14070,REPAIRSHOP/Building/garage_door,Door,cell_3_-1,cell_3_-1,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,bb3e90d2fd6671b43baec5392c41df2c,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_bb3e90d2fd6671b43baec5392c41df2c.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/Door.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
001bcfd02b50f06ac1421fe68bf9ec7d,legacy-world:001bcfd02b50f06ac1421fe68bf9ec7d,32338,WATERFACILITY/LOD/Functions/StaticCarVICTRO/wheelFR/Wheel/Rim,BuildingExterior,cell_-3_0,cell_-3_0,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,f8f42e9cf97caee4f83af747bcb5d1f1,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_f8f42e9cf97caee4f83af747bcb5d1f1.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/BuildingExterior.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
0026fbbc3095c4d106ff78e04b3ed3da,legacy-world:0026fbbc3095c4d106ff78e04b3ed3da,8704,SOCCER/SportHut/sport_hut_wall,StaticProp,cell_-3_0,cell_-3_0,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,ef00eaf9aa9bb4b43ae6a84151a1f4ae,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_ef00eaf9aa9bb4b43ae6a84151a1f4ae.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/StaticProp.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
0030ee0efaf184403885605c2c2ed9b6,legacy-world:0030ee0efaf184403885605c2c2ed9b6,34300,RYKIPOHJA/Greenhouse/greenhouse_frame,BuildingExterior,cell_-3_-4,cell_-3_-4,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,f7650d32d9955d7489753acbd2aa7245,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_f7650d32d9955d7489753acbd2aa7245.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/BuildingExterior.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
004ff89704e6631363f6d9f36be3fe28,legacy-world:004ff89704e6631363f6d9f36be3fe28,22697,STORE/TeimoInBike/Bicycle/Functions/Teimo/skeleton/pelvis/spine_middle/spine_upper/HeadPivot/head/Accessories/eye_glasses_regular,BuildingExterior,cell_-3_0,cell_-3_0,SourceCellDeterministic,0,0,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,,,,MetadataOnly
006422df8f701646ab7a38e113a32c16,legacy-world:006422df8f701646ab7a38e113a32c16,3573,PERAJARVI/TerraceHouse/Apartments/LOD2/LOD/WC/ToiletSink/toilet_sink,BuildingExterior,cell_-3_0,cell_-3_0,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,f38470ff15a23a548b821bf88f2f3dd9,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_f38470ff15a23a548b821bf88f2f3dd9.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/BuildingExterior.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
0086781702ba5cb80dbf0dbb8f875acb,legacy-world:0086781702ba5cb80dbf0dbb8f875acb,6618,STORE/LOD/PRODUCTS/Coolant/1,BuildingExterior,cell_-3_0,cell_-3_0,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,a298bd379cf5c5548ab715ee6d85d4a9,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_a298bd379cf5c5548ab715ee6d85d4a9.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/BuildingExterior.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
00bcb1255be04f12e36692c5780b39c9,legacy-world:00bcb1255be04f12e36692c5780b39c9,24633,YARD/UNCLE/Building/LIGHT/lamp_cord 1,BuildingExterior,cell_0_-3,cell_0_-3,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,77423119895b1d249a9cc0de14362299,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_77423119895b1d249a9cc0de14362299.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/BuildingExterior.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
00dbc1598b7635c6618931b8d5ffe59b,legacy-world:00dbc1598b7635c6618931b8d5ffe59b,8113,MAP/TrafficSigns/1/sign_pole 4/sign_60,RoadSign,cell_-3_-4,cell_-3_-4,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,e071691763a7caa459aefd2279fafa03,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_e071691763a7caa459aefd2279fafa03.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/RoadSign.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
00eb804a9bc92f7c8e340600e42c38b7,legacy-world:00eb804a9bc92f7c8e340600e42c38b7,27365,REPAIRSHOP/LOD/Office/Furniture/garage_shelf_bars 4/Rims,BuildingExterior,cell_3_-1,cell_3_-1,SourceCellDeterministic,1,1,,TemporaryDirectImport,msc-world-baseline-04a1.1-c3f2f337,42b530eb71692134e8579866bceb8ae1,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/LegacyTextured/M06B2_42b530eb71692134e8579866bceb8ae1.mat,Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Materials/BuildingExterior.mat,LegacyTexturedActive;LegacyDiagnosticAvailable
