"cell_id","camera_id","canonical","donor_evidence_path","donor_sha256","donor_status","rejected_before_path","rejected_before_status","repaired_after_path","repaired_after_status","overlay_path","comparison_status","notes"
"cell_0_-3","M06B-CELL-0-M3-CAM-01","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor","Supplementary aerial evidence M06B-EVD-001 is not a substitute."
"cell_0_-3","M06B-CELL-0-M3-CAM-02","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor","Supplementary aerial evidence M06B-EVD-001 is not a substitute."
"cell_0_-3","M06B-CELL-0-M3-CAM-03","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-3","M06B-CELL-0-M3-CAM-04","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-3","M06B-CELL-0-M3-CAM-05","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-3","M06B-CELL-0-M3-CAM-06","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-3","M06B-CELL-0-M3-CAM-07","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-3","M06B-CELL-0-M3-CAM-08","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-3","M06B-CELL-0-M3-CAM-09","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor","Supplementary aerial evidence M06B-EVD-001 is not a substitute."
"cell_0_-3","M06B-CELL-0-M3-CAM-10","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor","Supplementary aerial evidence M06B-EVD-001 motivates the view but is not matched."
"cell_0_-2","M06B-CELL-0-M2-CAM-01","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-02","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-03","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-04","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-05","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-06","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-07","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-08","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
"cell_0_-2","M06B-CELL-0-M2-CAM-09","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor","M06B-EVD-002 is rainy aerial context with unproven cell assignment."
"cell_0_-2","M06B-CELL-0-M2-CAM-10","true","","","PendingCanonicalCapture","","PendingMatchedCamera","","NotStarted","","BlockedMissingDonor",""
