StableWorldId,DonorSourceReference,SemanticCategory,ProductionPrefab,ProductionMaterials,CollisionReference,LodGroup,PivotMode,ScaleMode,ExpectedBoundsCenter,ExpectedBoundsSize,MeasuredBoundsCenter,MeasuredBoundsSize,AllowedDeviationMeters,TransformOffset,ReplacementStatus,AuthoringStatus,ValidationStatus,ProductionZone,PerformanceTier,WetnessCompatibility,WeatherCompatibility,Notes,SourceControlStatus,ManualArtDependency,LastValidationTimestamp,AssetVersion
"d99ba2b3c2e4d7bc793a1b730a3dc682","TRAFFIC/VehiclesHighway/MENACE/wheelRR/Wheel/Rim","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1438.616|7.17115|-766.8895","0.453369|0.457641|0.249023","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"6cfaec2e4c495e20a40afe92004fec6a","STORE/LOD/ActivateStore/SpraycanProducts/Spray03","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1380.645|7.136244|139.2129","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-3_0","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","316d821deeff35d881d975eb56da4237","2026-07-14T00:00:00+05:00","0"
"94e9e69a1202ff9f6abf097fe97cff17","YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Where/WorldsMan-News-where41-text","BuildingInterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","175.07|-71.14899|-1042.045","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","5b0a4798fe805ba2eda7222972a55714","2026-07-14T00:00:00+05:00","0"
"cbb44ebd8566aad81957e519a4eddbb2","CARPARTS/PartsMotor/engine plate(Clone)/trigger_starter","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","153.8435|1.538734|-1043.081","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"b2f988842fbd9f52370994c7d6548f52","YARD/Building/Garage/BatteryCharger/battery_charger/WirePlus/cable","Wire","Assets/Game/World/Production/Prefabs/WR_HomePropsInfrastructure.prefab","Assets/Game/World/Production/Materials/WR_* (project-authored; M3 procedural texture basis)","Assets/Game/World/Production/Prefabs/WR_HomePropsInfrastructure.prefab::authored colliders","Assets/Game/World/Production/Prefabs/WR_HomePropsInfrastructure.prefab::LOD policy","Preserve donor world anchor; project-authored local pivot","1 Unity unit = 1 metre; no negative production scale","155.5154|2.227009|-1039.139","0.039001|0.31909|0.038452","0|0|0","0|0|0","0.35","0|0|0","FirstPass","GeneratedProductionCandidate","AutomatedStructurePass;ManualVisualPending","cell_0_-3","PilotNear","GlobalWetnessParameterReady","Neutral/Evening/OvercastCompatible","05A pilot composite binding: ChargerWirePlus. Donor geometry is not copied; detailed fit remains manual-reviewable.","TrackedProjectAsset","","2026-07-14T00:00:00+05:00","05A.1"
"c9996a12220060b4152c162b1fee8f9a","YARD/Building/Dynamics/FuseTable/Fusetable/Fuse3Pivot/fuseholder03/FuseTrigger","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","157.6638|2.83133|-1031.795","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_0_-3","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","04ce5261c42bb63c02fa8e7cab0434c9","2026-07-14T00:00:00+05:00","0"
"6151c6d68efc1104409ad2448260832e","HAYOSIKO(1500kg, 250)/LOD/FuelFiller/Pivot/body_fuel_hatch/Trigger","ColliderOnly","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","194.38|2.002003|-1087.395","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","bb2edd9f33f38a42c2a5d693a7922c9f","2026-07-14T00:00:00+05:00","0"
"84b7d665f5a0fd4dce483749176a2138","YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Where/WorldsMan-News-where35-text","BuildingInterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","175.07|-71.14899|-1042.045","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","5b0a4798fe805ba2eda7222972a55714","2026-07-14T00:00:00+05:00","0"
"78dcef0195f981a1bb23f02ded959bf1","JONNEZ ES(Clone)/LOD/Suspension/Steering/SteeringPivot/ForkFront/Pivot/TirePivot/Pivot/tire_mesh","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","150.25|1.245417|-1034.107","0.169266|0.442337|0.431763","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"1fc036ecff6d95fa20626f5fd11d4d68","GUI/HUD/Hunger/BarBG","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","160.54|10.411|-1040.603","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"1fb540178fd637dc22336e6ade9621af","REPAIRSHOP/LOD/Garbage/SVOBODA 1/seats","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","1738.594|6.603225|-318.0104","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_3_-1","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","59130ea2f9060b856bb05a4edbde3a0c","2026-07-14T00:00:00+05:00","0"
"d47341220f984499ad82c3735852e763","STORE/LOD/PRODUCTS/Spray11/1/cap","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1381.102|7.177998|139.8701","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-3_0","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","7e70cef378bfa7dd70a033c2bcc231cf","2026-07-14T00:00:00+05:00","0"
"47ee919c861ae83708a62c37bc420c5b","JOBS/Mummola/ChurchGrandma/GrannyHiker/Char/RagDollCar/pelvis/spine_mid/shoulders(xxxxx)/head/hat_granny","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","623.1442|5.965696|-2379.252","0.187317|0.136958|0.232422","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"f3c19f44d2c287bd45d6780a7d73eae8","RYKIPOHJA/BuildingsLOD/Graindryer/atlas_buildings","BuildingExterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","-1134.11|5.641024|-1666.349","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","cell_-3_-4","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","d7a05f326e8c3efa88554f15f190afca","2026-07-14T00:00:00+05:00","0"
"e9f06822309f0cfbd57d087068a1833f","Systems/OptionsMenu/DEBUG/Icons/IconGears/GUIAssignGear","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","178.6076|38.58202|-1041.742","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"bb8350ed1c1c5a3a68532f5142964e37","YARD/Building/BEDROOM1/COMPUTER/SYSTEM/RAMI-WorldsMan/WorldsMan-News-Happening/WorldsMan-News-Happening51-text","BuildingInterior","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","175.07|-71.14899|-1041.625","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","5b0a4798fe805ba2eda7222972a55714","2026-07-14T00:00:00+05:00","0"
"e1d948a1d8d30243faafd2dda5e96dc6","CARPARTS/PartsMotor/timing chain(Clone)","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","154.1826|1.574045|-1042.888","0.151123|0.008644|0.149536","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
"cd50943449537b6b357c66d589734e8d","Sheets/ServiceBrochure/PageTirejob/x 2","InteractivePropCandidate","","","","","Unassigned","1 Unity unit = 1 metre; no negative production scale","167.792|8.310854|-1034.107","0|0|0","0|0|0","0|0|0","0","0|0|0","Unassigned","Backlog","NotRun","excluded","Unclassified","Unknown","Unknown","Reference record registered; no production replacement assigned in the bounded first 05A pass.","NoProductionAsset","f97a483299fca6cb709c8d6901e0688b","2026-07-14T00:00:00+05:00","0"
