MetricId,Domain,ZoneId,StableWorldId,Expected,Measured,DeviationMeters,ToleranceMeters,Status,Evidence,Notes
"FULL-BUILDING-FOOTPRINTS","Building","","","Unavailable","Unavailable","0","0","Unavailable","","Only bounded home anchors/garage doors are measured."
"FULL-INTERIOR-FLOOR-LEVELS","Interior","","","Unavailable","Unavailable","0","0","Unavailable","","Room/floor/portal parity is unmeasured."
"FULL-JUNCTION-TOPOLOGY","Road","","","Unavailable","Unavailable","0","0","Unavailable","","No junction graph or production junction fixtures exist."
"FULL-ROAD-CENTERLINE","Road","","","Unavailable","Unavailable","0","0","Unavailable","","Production road centerline/width/elevation samples do not exist; Road bindings are 0/29."
"FULL-SHORELINE-WATER-LEVEL","Water","","","Unavailable","Unavailable","0","0","Unavailable","","Bounded shoreline presentation exists, but donor shoreline/elevation parity is unmeasured."
"FULL-TERRAIN-ELEVATION","Terrain","","","Unavailable","Unavailable","0","0","Unavailable","","No production heightfield parity samples exist."
"HOME-PIER-SEAM-OVERLAP","TerrainSeam","cell_0_-2","",">=1.0m overlap","3.753174m overlap","0","0","MeasuredPass","Fresh ProductionCellValidationTool geometry fixture","Deviation records shortfall below the required overlap; zero means the minimum is met."
"M05C1-VOID-CELL-SEAM","TerrainSeam","cell_-4_0;cell_-3_0","","matching world-space seam vertices","26 seam pairs","0","0.0001","MeasuredPass","Assets/Game/World/Production/Terrain/VoidFill/M05C1_TeimoVoidFill_cell_-4_0.asset;Assets/Game/World/Production/Terrain/VoidFill/M05C1_TeimoVoidFill_cell_-3_0.asset","Project-owned safety topology; not donor replacement coverage."
"PIER-COLLIDER-GAP","CollisionContinuity","cell_0_-2","","<=0.10m","0.08m","0.08","0.1","MeasuredPass","Fresh ProductionCellValidationTool geometry fixture","Maximum neighbouring plank-collider gap."
"PRODUCTION-GARAGE-DOOR-LEFT","MovingArchitecture","cell_0_-3","250d1cb74558e7c7e27e5e860981c938","154.0945|2.087178|-1033.274","154.275|2.06|-1033.13","0.232306","0.35","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-3.unity","Renderer world-bounds center versus durable donor-layout bounds center."
"PRODUCTION-GARAGE-DOOR-RIGHT","MovingArchitecture","cell_0_-3","e8660bda40e1d2946e004456e245c803","152.8694|2.087177|-1033.254","152.715|2.06|-1033.13","0.200094","0.35","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-3.unity","Renderer world-bounds center versus durable donor-layout bounds center."
"PRODUCTION-HEDGE-ANCHOR-1","BuildingAnchor","cell_0_-2","b8de7336e204fae3ba333227b3e94d19","161.94|1.430999|-1018.265","161.94|1.430999|-1018.265","0","0.05","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-2.unity","Exact converted anchor fixture."
"PRODUCTION-HEDGE-ANCHOR-2","BuildingAnchor","cell_0_-2","449b18de0c10f87887e3f3304a90366e","166.39|1.431|-1020.635","166.39|1.431|-1020.635","0","0.05","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-2.unity","Exact converted anchor fixture."
"PRODUCTION-HEDGE-ANCHOR-3","BuildingAnchor","cell_0_-2","847f56ce8c1be238f4bcae514bb55fdf","170.83|1.431|-1023.005","170.83|1.431|-1023.005","0","0.05","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-2.unity","Exact converted anchor fixture."
"PRODUCTION-HOME-ROOT","ProductionAnchor","cell_0_-3","","153.495|0.95|-1033.23","153.495|0.95|-1033.23","0","0.01","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-3.unity","Production-cell root position."
"PRODUCTION-PIER-ROOT","ProductionAnchor","cell_0_-2","","177.67|-1.779|-894.185","177.67|-1.779|-894.185","0","0.05","MeasuredPass","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-2.unity","Production-cell root position."
"SPATIAL-AGG-MAX","Aggregate","","","n/a","0.232306","0.232306","0","MeasuredStatistic","05B measured fixture set","Maximum over available metric deviations only."
"SPATIAL-AGG-MEAN","Aggregate","","","n/a","0.05124","0.05124","0","MeasuredStatistic","05B measured fixture set","Mean over available metric deviations only."
"SPATIAL-AGG-P95","Aggregate","","","n/a","0.232306","0.232306","0","MeasuredStatistic","05B measured fixture set","Nearest-rank p95 over available metric deviations only."
"WORLD-ORIGIN-GARAGE","WorldOrigin","","fb0f962be1b325cc19296c66751818c0","0|0|0","0|0|0","0","0.005","MeasuredPass","04A1 coordinate-conversion fixture","Serialized transform conversion only; not a production mesh-fidelity claim."
