RequestedMode,EffectiveMode,Scenario,CpuFrameTimeMs,CpuTimingSource,GpuFrameTimeMs,GpuTimingAvailable,GpuTimingSource,PostProcessingCpuMarkerMs,MotionVectorsCpuMarkerMs,OutputResolution,InternalResolution,DynamicResolutionScale,Upscaler,MotionVectorsActive,ManagedCameraCount,FallbackReason
"Off","Off","01_StaticOutdoor",2.0206,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0934,0.0555,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","02_SlowWalk",2.2057,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1054,0.0534,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","03_FastCameraTurn",1.7653,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0794,0.0253,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","04_FastVehicle",1.8838,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0877,0.0514,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","05_ForestGrassFoliage",2.2059,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0906,0.0561,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","06_ThinGeometryAgainstSky",2.0743,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0878,0.0513,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","07_NightHeadlightsEmissive",1.9539,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0879,0.0514,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","08_InteriorContrastDetails",1.8753,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0893,0.0544,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","09_FieldOfViewChange",1.8515,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0852,0.0577,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","10_ResolutionChange",1.8552,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0749,0.0558,"960x540","960x540",1.0000,"None",False,2,""
"Off","Off","11_RuntimeAaSwitch",2.0002,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0852,0.0594,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","12_TeleportOrSaveLoad",1.7191,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0697,0.0532,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","13_HardCameraCut",1.6641,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0707,0.0321,"1280x720","1280x720",1.0000,"None",False,2,""
"Off","Off","14_MultipleActiveCameras",3.3605,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1566,0.0895,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","01_StaticOutdoor",1.6633,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0694,0.0554,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","02_SlowWalk",1.7057,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0715,0.0562,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","03_FastCameraTurn",1.6277,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0745,0.0307,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","04_FastVehicle",1.9645,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0800,0.0540,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","05_ForestGrassFoliage",1.8341,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0797,0.0552,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","06_ThinGeometryAgainstSky",1.7271,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0707,0.0507,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","07_NightHeadlightsEmissive",1.8067,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0757,0.0531,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","08_InteriorContrastDetails",1.7245,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0728,0.0484,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","09_FieldOfViewChange",1.6319,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0712,0.0523,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","10_ResolutionChange",1.8208,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0754,0.0577,"960x540","960x540",1.0000,"None",False,2,""
"Fxaa","Fxaa","11_RuntimeAaSwitch",1.7295,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0731,0.0567,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","12_TeleportOrSaveLoad",1.6119,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0692,0.0591,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","13_HardCameraCut",1.5922,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0693,0.0374,"1280x720","1280x720",1.0000,"None",False,2,""
"Fxaa","Fxaa","14_MultipleActiveCameras",3.1912,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1486,0.0814,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","01_StaticOutdoor",1.7465,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0773,0.0544,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","02_SlowWalk",1.7589,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0786,0.0545,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","03_FastCameraTurn",1.9258,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0996,0.0268,"1280x720","1280x720",1.0000,"None",False,2,""
