assetPath,guid,category,domains,excludedByConfig,dirtyWorkingTree,reasons
Assets/Chernobyl/Textures/Noise.tga,3948ecb3ddda0914ab24867c36c4a45c,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_A.tga,8a011892f9920134bbf910a55942b185,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_MaskMap.png,3ba1dcc5367ea3d418c9e0eff998a98b,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_MS.tga,2d30090df8d521b4b935ebbc6ecb11a3,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_N.tga,8577dbd8b4afa98418bdff7a3c4901fd,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_O.tga,18c332d66854a764c9df31b5bd99af65,Unknown / Manual Review,Vegetation,True,True,No authoritative Unity/material classification was found. | Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_A.tga,c802d6a7c8e94ae49884a038f46a0e94,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_MaskMap.png,36692c57d2cb66a49a80956e5f67c92d,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_MS.tga,1f1695f3c62dd934a9b7887ca869483c,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_N.tga,1469b843d8e4db745bca6442853b0673,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Bark_A.tga,2f53c94e92457c544afe401229a05fab,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Bark_MaskMap.png,bd5feb4dd50a6d344a9f6a30028abf4f,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Bark_MS.tga,cfed3e72b6f2fa94c9675523d1703ecd,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Bark_N.tga,94f0dc0a30286244fa2e5339319146e5,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Bark_O.tga,9e0621f01deabef41bfbbc21bd2440d3,Unknown / Manual Review,Vegetation,True,True,No authoritative Unity/material classification was found. | Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Leaves_A.tga,91513cb9aa89a1b4a8c50e924e672162,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Leaves_MRO.tga,c9b766a54e64c7c4ca5998339e3c6936,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_Leaves_N.tga,397f3f32e759a6947861c1ccc6a93689,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Billboard_Aspen_01.tga,5125c0bcc641b604fa0f17e1623e88ac,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Billboard_Aspen_02.tga,bc8d3a0634e6c854b90a54b5c6dfa91a,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Aspen/Billboard_Aspen_03.tga,653ecd786a1d8c6478f7cd1a121cdcdd,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Billboard_Birch_01.tga,e9c2ccd6ed729c54e8b8538f46ddc9e3,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Billboard_Birch_02.tga,56b5093b8bee5de4481fb16c185ad9b1,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Bark_A.tga,f2e2554881d1a4c4b8ab3f4e6ebcaf1d,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Bark_AO.tga,a7970a13d7281884bb01a230fb0389df,Ambient Occlusion,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Bark_MaskMap.png,13d5bbb92f95e3c4791ba840cff4b027,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Bark_MS.tga,0592f2ae409f91043812ebe07a299ef9,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Bark_N.tga,7e8c04493b5d41249ad182d533105a38,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Leaves_A.tga,511fafa30c081d5459563b915b64a599,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Leaves_MRO.tga,3540cd1a306324e4588f6afa0325700b,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Birch/Birch_Leaves_N.tga,a131e5cb3c8e0b944946386149955c84,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Bushes_01/Bushes_01_A.tga,3706d7f0cd9116d4eb1343200124a71c,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Bushes_01/Bushes_01_Mask.tga,13847fd3692761547b997af2b4cb7467,HDRP Mask Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Bushes_01/Bushes_01_N.tga,f6669d09a9b24f943aa15b5fdc30f02f,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Grass_01_A.tga,3b6bfd566cde0524fbd4c7b2fc9fd53c,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Grass_01_Mask.tga,38c3abc8a1bb6d24e973a7c661b5acae,HDRP Mask Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Grass_01_N.tga,7cb93efc73b73a547bbe6a0a602cd9b3,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Grass_09_A.tga,e424581afe1afcc4598320c56d51d1ea,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Grass_09_Mask.tga,1d7f2e76c2caf694eb6358659a689c89,HDRP Mask Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Grass_09_N.tga,dd018a4d8427ba54280a838ccd20abc5,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Small_Tree_A.tga,bcdfe67ed214d044fabdf400e14a44e3,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Small_Tree_Mask.tga,288de257612dd284f9cdc793c4cbfb37,HDRP Mask Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Grass/Small_Tree_N.tga,19bc9e21cd3dbca4bb9b9ad30ac6ad44,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_A.tga,86b887ea9fdb73a42aff6fde625d9094,Base Color / Albedo,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_MaskMap.png,d2eb542f05e737e4bbe110150b5aae7b,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_MS.tga,af0a5c5ecaa8d5d4fb86d08876a79866,Alpha Mask / Cutout,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_N.tga,3282987b8a9cb1d47890e05d57f196f9,Normal Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_O.tga,5e838a6193c5b5e46aa01a05e1ff6c36,Unknown / Manual Review,Vegetation;World,True,True,No authoritative Unity/material classification was found. | Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_Leaves_A.tga,edfd48c766a8d4949b93eb80cb012e50,Alpha Mask / Cutout,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_Leaves_Mask.tga,1f46969a7ac7b9845aa3054c2f904615,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_Leaves_N.tga,da843f59b5bf81b40b4c0fdfbe02ee47,Normal Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Noise.tga,26e819997ca443c449ab615eff7fae83,Base Color / Albedo,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
